,Source,URL,sents_leicht,sents_standard
20,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Das heisst: Klima·schutz.,
21,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Was können die Menschen tun gegen den Klima·wandel? Die Menschen müssen weniger CO2 produzieren. Dann können die Menschen etwas gegen den Klima·wandel tun. Die Menschen müssen vor allem in den Städten etwas gegen den Klima·wandel tun.,"Um den Klimawandel aufzuhalten, müssen die Menschen weniger CO2 produzieren."
22,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Dann ist der Klima·wandel nicht so schlimm.,
23,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Wieso ist Klimaschutz in den Städten wichtig? Die Hälfte von allen Menschen auf der Erde lebt in einer Stadt. Deshalb produzieren die Städte sehr viel CO2. Das ist schlecht für das Klima.,"Besonders in Städten ist dies wichtig, da dort viele Menschen leben und daher auch viel CO2 produziert wird."
24,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Forscher sagen:,
25,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Die Städte müssen weniger CO2 produzieren.,
26,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Es wird dann angenehmer in den Städten.,
27,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Die Luft wird besser.,
28,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Die Menschen in den Städten sind gesünder.,
29,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Der Klima·wandel ist auch weniger schlimm.,
30,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Forscher sagen auch: Die Städte können weniger CO2 produzieren. Es ist möglich. Die Städte haben nämlich schon Ideen.,"Forscher empfehlen, dass Städte Maßnahmen ergreifen, um ihren CO2-Ausstoß zu reduzieren."
31,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Zum Beispiel: Die Städte machen Bus·fahren und Zug·fahren billiger. Die Städte verbieten Autos mit Benzin. Die Städte bauen weniger Häuser.,"Beispielsweise könnten öffentliche Verkehrsmittel günstiger gemacht, Autos mit Benzin verboten und der Bau neuer Gebäude eingeschränkt werden."
32,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Setzen die Städte die Ideen um?,
33,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Dann produzieren die Städte viel weniger CO2. So schützen die Städte das Klima. Wie können die Städte anfangen? 1. Die Städte bezahlen Subventionen.,"Städte können auch Subventionen an Unternehmen geben, die wenig CO2 produzieren, sowie Pläne für erneuerbare Energien entwickeln."
34,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Eine Subvention ist eine Hilfe für eine Firma.,
35,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Die Städte geben eine Subvention.,
36,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Es gibt verschiedene Formen von Subvention.,
37,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Zum Beispiel:,
38,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Die Städte geben einer Firma Geld.,
39,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Eine Firma muss weniger Steuern bezahlen.,
40,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Wann geben die Städte Subventionen?,
41,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Zum Beispiel:,
42,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Eine Firma produziert wenig CO2.,
43,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Dann bekommt die Firma Geld.,
44,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Eine Firma produziert viel CO2.,
45,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Dann muss die Firma Geld bezahlen.,
46,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,2. Die Städte machen verschiedene Pläne.,
47,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Ein Plan ist zum Beispiel:,
48,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Die Städte wollen mehr erneuerbare Energien.,
49,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Das ist Energie aus:,
50,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,der Sonne,
51,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,dem Wind,
52,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,dem Wasser,
53,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Erneuerbare Energien schützen das Klima.,
54,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Die Städte brauchen Energie für verschiedene Dinge.,
55,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Zum Beispiel:,
56,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Ein Bus braucht Energie.,
57,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Eine Heizung braucht Energie.,
58,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Ein Computer braucht Energie.,
59,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Eine Maschine braucht Energie,
60,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Viel Energie kommt aber aus Kohle·kraft·werken.,
61,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Energie aus Kohle·kraft·werken produziert viel CO2.,
62,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Deshalb ist ein anderer Plan:,
63,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Die Städte wollen die Kohle·kraft·werke schliessen.,
64,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Viele Menschen arbeiten aber in Kohle·kraft·werken.,
65,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Verlieren diese Menschen dann ihre Arbeit?,
66,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Städte können sagen:,
67,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Nein: Wir helfen diesen Menschen.,
68,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Wir finden eine neue Arbeit für diese Menschen.,
69,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,3. Die Städte machen Gesetze. In den Gesetzen steht zum Beispiel: Die Menschen dürfen nicht überall Häuser bauen. Die Menschen müssen mehr erneuerbare Energien verwenden.,"Zudem können sie Gesetze erlassen, die den Einsatz erneuerbarer Energien fördern und Bauvorhaben einschränken."
70,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Die Städte haben wenig Zeit,
71,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Machen die Städte nicht viel gegen den Klima·wandel?,
72,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Dann ist der Klima·wandel schlimm.,
73,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Die Städte müssen schnell etwas machen.,
74,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Dann können die Menschen das Klima schützen.,
75,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Möchtest Du noch mehr über den Klima·wandel wissen?,
76,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Dann kannst Du Dir dieses Video anschauen.,
77,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Das Video erklärt den Klima·wandel in Leichter Sprache.,
78,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Zum Video,
79,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Autor:innen,
80,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Julia Manser und Fabio Ben Soltane,
81,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Julia Manser und Fabio Ben Soltane studieren an der Fachhochschule ZHAW in Winterthur.,
82,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Sie haben diesen Text für einen Kurs im Studium geschrieben.,
83,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,infoeasy ist Partner für diesen Kurs.,
84,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Zum Kurs gehört auch eine Prüfung des Textes.,
85,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Dieser Text ist geprüft von:,
86,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Röbi D’Amico,
87,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Tamara Graf,
88,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Pascal Titeux.,
89,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Sie gehören zur HPV-Prüfgruppe.,
90,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Die Prüfung geleitet hat:,
91,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,Thomas Rivetti.,
92,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,"Quelle Die Informationen kommen aus diesem Original-Text in Standard-Sprache in: Deutsche Welle DW, Städte spielen eine zentrale Rolle beim Kampf gegen den Klimawandel, abgerufen am 17. Februar 2022 (In Englisch) DW, Net-zero by 2050: What does it mean?, abgerufen am 17. Februar 2022","Wenn die Städte diese Maßnahmen umsetzen, reduzieren sie den CO2-Ausstoß und tragen zum Klimaschutz bei."
93,LS_infoeasy_gpt,https://infoeasy-news.ch/staedte-koennen-etwas-gegen-klimawandel-tun/,"(In Englisch) DW, Will it soon be too late to save the climate?, abgerufen am 17. Februar 2022 Bundestag.de, Klima-Paket, abgerufen am 17. Februar 2022 Ecapio, Klima·wandel erklärt in Leichter Sprache, abgerufen am 17. Februar 2022 : TAZ, Ist es zu spät für das Klima?, abgerufen am 17. Februar 2022 :","Es ist wichtig, dass die Städte schnell handeln, da der Klimawandel bereits weitreichende Auswirkungen hat."
94,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,WhatsApp hat neue Regeln für den Datenschutzt WhatsApp hat 2021 seine Regeln für den Daten·schutz geändert. Die Benutzer müssen Ja sagen zu den neuen Regeln.,"WhatsApp hat 2021 seine Datenschutzregeln geändert und verlangt von den Benutzern, den neuen Regeln zuzustimmen."
95,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Tun sie das nicht? Dann können die Benutzer WhatsApp bald weniger gut nutzen. Aber was passiert mit den Daten von den Benutzern? Wir erklären das hier.,"Wenn sie das nicht tun, können sie WhatsApp in Zukunft eingeschränkt nutzen."
96,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Seit Mai 2021 hat WhatsApp neue Regeln für den Daten·schutz. WhatsApp schreibt auf seiner Website : Wir ändern unsere Regeln für den Daten·schutz für Nachrichten zwischen Firmen und Benutzern von WhatsApp.,Die Änderungen betreffen vor allem den Austausch von Nachrichten zwischen Unternehmen und Benutzern.
97,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Was will WhatsApp mit den neuen Regeln erreichen? Die Benutzer von WhatsApp können einfacher mit Firmen sprechen. Firmen wie zum Beispiel Flug·gesellschaften oder Läden können WhatsApp im Kunden·dienst benutzen.,"WhatsApp möchte es Unternehmen erleichtern, mit ihren Kunden über den Kundendienst in Verbindung zu treten."
98,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Benutzer können dann Nachrichten an Firmen schreiben. Und Kunden können über WhatsApp bei Firmen: Fragen zu Produkten stellen oder einkaufen,"Benutzer können dann Nachrichten an Unternehmen senden, Produkte kaufen oder Informationen erhalten."
99,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,oder Informationen bekommen.,
100,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Benutzer sagen Nein: Was passiert dann? Sagen Benutzer Nein zu den neuen Datenschutz-Regeln? Dann können sie WhatsApp zuerst noch benutzen. Aber später sehen die Benutzer eine Nachricht.,"Wenn Benutzer den neuen Datenschutzregeln nicht zustimmen, werden sie in Zukunft eine Benachrichtigung erhalten, dass WhatsApp nicht mehr so gut funktioniert."
101,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Die Nachricht sagt: WhatsApp funktioniert bald nicht mehr so gut. Die Benutzer müssen Ja sagen. Dann können sie WhatsApp wieder ganz benutzen.,"Um WhatsApp weiterhin vollständig nutzen zu können, müssen sie der Zustimmung zustimmen."
102,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Wieso ändert WhatsApp seine Regeln für den Daten·schutz? Facebook hat WhatsApp für viel Geld gekauft. Facebook will mit WhatsApp Geld verdienen. Deshalb macht WhatsApp neue Regeln.,"Der Grund für die Änderung der Datenschutzregeln liegt darin, dass Facebook WhatsApp gekauft hat und mit WhatsApp Geld verdienen möchte."
103,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Die Regeln machen den Kontakt zwischen Firmen und Kunden einfacher. Wie möchte Facebook mit WhatsApp Geld verdienen? Die Firmen zahlen für WhatsApp Geld.,Die neuen Regeln sollen den Kontakt zwischen Unternehmen und Kunden erleichtern.
104,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Viele Menschen sind nicht zufrieden mit den Datenschutz-Regeln,Einige Benutzer sind mit den neuen Datenschutzregeln jedoch nicht zufrieden.
105,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Neu gibt WhatsApp viele Daten an andere Firmen weiter. Und WhatsApp gibt auch Daten an Facebook weiter. Das finden einige Benutzer von WhatsApp schlecht. Die Benutzer sagen:,WhatsApp teilt nun mehr Daten mit anderen Unternehmen und gibt auch Daten an Facebook weiter.
106,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Das ist gefährlich. Darum haben viele Benutzer WhatsApp gelöscht. Sie benutzen jetzt eine andere App . Was sagt WhatsApp?,Viele Benutzer finden das bedenklich und haben WhatsApp deshalb gelöscht und verwenden jetzt andere Apps.
107,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,WhatsApp sagt:,
108,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Wir geben nicht mehr Daten an Facebook weiter.,
109,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Auch mit den neuen Datenschutz-Regeln nicht .,
110,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,"Wir versuchen immer noch, Deine Daten zu schützen. Die Ende-zu-Ende-Verschlüsselung bleibt gleich. Facebook sieht deine Daten nicht. Schickst Du Nachrichten an eine Firma?","WhatsApp versichert jedoch, dass es keine Daten mehr an Facebook weitergibt und dass die Ende-zu-Ende-Verschlüsselung weiterhin vorhanden ist."
111,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Dann kann die Firma Deine Daten speichern.,
112,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Die Firma kann dann Deine Daten für ihre Werbung brauchen.,
113,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Was können Benutzer von WhatsApp für ihre Sicherheit tun? Hier sind ein paar Tipps für Dich: Benutze auf WhatsApp einen anderen Namen.,"WhatsApp gibt den Benutzern auch Tipps, wie sie ihre Sicherheit verbessern können."
114,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,"Also nicht Deinen eigenen, richtigen Namen.",
115,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Erfinde einen Namen.,
116,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Lösche Dein Profil·foto .,
117,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Schalte Deine Status·meldungen aus.,
118,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,"Schicke Deinen Stand·ort nicht über WhatsApp. Wechsle auf eine andere App . Zum Beispiel Signal, Threema oder Wire. Denn diese Apps geben viel weniger Daten weiter.","Dazu gehören die Verwendung eines anderen Namens statt des echten Namens, das Löschen des Profilfotos, das Ausschalten der Statusmeldungen, das Nicht-Übermitteln des Standorts über WhatsApp und der Wechsel zu anderen Apps wie Signal, Threema oder Wire, die weniger Daten weitergeben."
119,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Dafür kostet das App Threema etwas. Das ist das Symbol für die Nachrichten- App Threema. Threema ist eine Schweizer App . Das ist das Symbol der Nachrichten- App Signal.,Threema ist eine kostenpflichtige App.
120,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Das ist das Symbol für die App Wire.,
121,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Autorinnen Miranda Lang und Tonja Kammerlander Miranda Lang und Tonja Kammerlander studieren an der Fachhochschule ZHAW in Winterthur. Sie haben diesen Text für einen Kurs im Studium geschrieben.,Der Text stammt von den Autorinnen Miranda Lang und Tonja Kammerlander von der Fachhochschule ZHAW in Winterthur und wurde im Rahmen eines Studienkurses verfasst.
122,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,infoeasy ist Partner für diesen Kurs.,
123,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Zum Kurs gehört auch eine Prüfung des Textes.,
124,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Dieser Text ist geprüft von:,
125,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Röbi D’Amico,
126,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Tamara Graf,
127,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Pascal Titeux.,
128,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Sie gehören zur HPV-Prüfgruppe.,
129,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Die Prüfung geleitet hat:,
130,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,Thomas Rivetti.,
131,LS_infoeasy_gpt,https://infoeasy-news.ch/whatsapp-datenschutz/,"Quelle Die Informationen kommen aus diesem Original-Text in Standard-Sprache in: ARD Tagesschau, WhatsApp mit neuen Datenschutz-Regeln, 15. Mai 2021",Die Informationen stammen aus einem Artikel der ARD Tagesschau vom 15. Mai 2021.
132,LS_infoeasy_gpt,https://infoeasy-news.ch/der-kleine-waldzwerg-mit-schlechter-laune/,"Der kleine Waldzwerg mit der schlechten Laune Der kleine Wald-Zwerg wohnt in einem schönen, grünen Wald. Der Wald steht auf einem grossen Berg.","Es war einmal ein kleiner Zwerg, der im Wald lebte. Der Wald war grün und lag auf einem großen Berg."
133,LS_infoeasy_gpt,https://infoeasy-news.ch/der-kleine-waldzwerg-mit-schlechter-laune/,In diesem Wald leben viele Tiere.,Viele Tiere lebten dort.
134,LS_infoeasy_gpt,https://infoeasy-news.ch/der-kleine-waldzwerg-mit-schlechter-laune/,Der kleine Wald-Zwerg ist so gross wie eine Katze. Er hat braune Haare und eine lange Nase. Er trägt eine grüne Hose und einen roten Pulli.,"Der Zwerg hatte braune Haare, eine lange Nase und trug eine grüne Hose und einen roten Pullover."
135,LS_infoeasy_gpt,https://infoeasy-news.ch/der-kleine-waldzwerg-mit-schlechter-laune/,Der kleine Wald-Zwerg steht heute mit schlechter Laune auf.,An diesem Tag war der Zwerg schlecht gelaunt.
136,LS_infoeasy_gpt,https://infoeasy-news.ch/der-kleine-waldzwerg-mit-schlechter-laune/,Das Frühstück schmeckt ihm nicht. Die Kleider sind unbequem. Die Sonne blendet ihn. Seine Eltern nerven ihn.,"Das Frühstück schmeckte ihm nicht, die Kleidung war unbequem, die Sonne blendete ihn und seine Eltern und Geschwister nervten ihn."
137,LS_infoeasy_gpt,https://infoeasy-news.ch/der-kleine-waldzwerg-mit-schlechter-laune/,Seine Geschwister sowieso.,
138,LS_infoeasy_gpt,https://infoeasy-news.ch/der-kleine-waldzwerg-mit-schlechter-laune/,Alles ist doof heute.,Alles war doof an diesem Tag.
139,LS_infoeasy_gpt,https://infoeasy-news.ch/der-kleine-waldzwerg-mit-schlechter-laune/,Nach dem Frühstück geht der kleine Wald-Zwerg spazieren.,Nach dem Frühstück machte er einen Spaziergang.
140,LS_infoeasy_gpt,https://infoeasy-news.ch/der-kleine-waldzwerg-mit-schlechter-laune/,Es ist Winter. Alles ist weiss vom vielen Schnee.,Es war Winter und überall lag weißer Schnee.
