,sents_leicht,sents_standard,sim
10,Beim Fest-Preis:,Bundesweit bewegt sich auch der neue Tarif preislich auf dem Niveau vergleichbarer Großstädte. Wichtig dabei ist: Von den Großstädten gibt es nur in Hamburg und Berlin eine entgeltfreie Wartezeit von einer Minute.,-0.273602953921554
11,20 Euro für einen Weg von bis zu 5 Kilo-Metern.,Beispielsweise an der roten Ampel läuft das Taxameter erst nach Ablauf von einer Minute weiter.,0.29036917996563116
12,37 Euro für einen Weg von mehr als 5 Kilo-Metern und weniger als 12 Kilo-Metern. 50 Euro für einen Weg von mehr als 12 Kilo-Metern und weniger als 20 Kilo-Metern.,"In anderen Städten wirkt sich eine Wartezeit ab der ersten Sekunde preiserhöhend aus. Dadurch beträgt der Wartegeldanteil in Hamburg lediglich rund 2 Prozent des Fahrpreises, in anderen Städten sind bei Vergleichsfahrten Wartegeldanteile von bis zu 14 Prozent ermittelt worden.",0.4937609476185057
13,Info: Ein Computer hat diesen Text in Leichte Sprache übertragen.,"Die Hamburger Regelung führt dazu, dass der Fahrpreis vor Fahrtantritt relativ präzise vorausgesagt werden kann. Die neuen Entgelte im Detail: Tarif 2022 in Euro neuer Tarif 2023 in Euro",0.36452367729826257
41,Der Text ist nicht durch Menschen mit Behinderungen geprüft worden.,"Wartegeld/Std. 36,-- Wartegeld/Std. 38,--",-0.3892203601423646
43,Sie können hier dazu mehr lesen.,"8,-- Zuschläge 8,-- * Hauptverkehrszeiten sind aktuell die Zeiten werktags außer sonnabends von 7:00 Uhr bis 10:00 Uhr und von 16:00 Uhr bis 19:00 Uhr.",0.013838187614683486
47,"Am Freitag, 12. Mai, fängt die Bade-Saison in Hamburg an. Das heißt: Man kann wieder in den Bade-Seen von Hamburg baden. Es gibt 13 Bade-Seen in Hamburg. Die Bade-Seen sind bis September geöffnet.",Die Wasserqualität der Hamburger Badegewässer wird während der Badesaison regelmäßig kontrolliert.,0.6132513929808171
49,Der Eich-Baum-See ist ein See in Hamburg. In diesem Jahr darf man wieder im Eich-Baum-See baden. Aber man muss aufpassen: Vielleicht gibt es Blau-Algen im Wasser. Dann darf man nicht baden.,Die Bezirksämter entnehmen an den Badestellen alle drei Wochen Wasserproben.,0.348150430499934
50,Hamburg prüft das Wasser Die Stadt Hamburg kontrolliert die Bade-Seen. Das heißt: Die Stadt Hamburg prüft das Wasser. Die Stadt Hamburg nimmt dafür Wasser-Proben.,Diese werden entsprechend der EG-Badegewässerrichtlinie auf die Darmbakterien „Intestinale Enterokokken“ und „Escherichia Coli“ vom Institut für Hygiene und Umwelt untersucht.,0.5889108873301825
52,Sie nehmen die Proben an den Bade-Plätzen. Die Proben werden dann im Labor untersucht. Das Labor untersucht: Sind Bakterien im Wasser? Bakterien können Menschen krank machen.,Die Bakterien dienen als Anzeichen für eventuelle gesundheitliche Risiken durch Belastungen im Gewässer.,0.7379473009183378
53,Die Stadt Hamburg prüft auch: Wie klar ist das Wasser? Wie warm ist das Wasser?,"Außerdem werden die Sichttiefe, der pH-Wert und die Wassertemperatur gemessen.",0.2681457323083051
54,Sind Blau-Algen im Wasser? Die Stadt Hamburg hat Infos über die Bade-Seen. Zum Beispiel:,Bei Bedarf wird das Gewässer zusätzlich auf Cyanobakterien (Blaualgen) untersucht.,0.21778453909047576
55,Welche Bade-Seen gibt es in Hamburg Wie komme ich dorthin? Was gibt es an den Bade-Seen? Die Internet-Adresse ist: www.hamburg.de/badegewaesser Der Text ist in schwieriger Sprache.,"Alle aktuellen Ergebnisse und die Bewertung der Wasserqualität der Hamburger Badegewässer sind auf der Internetseite der Behörde für Umwelt, Klima, Energie und Agrarwirtschaft veröffentlicht ( www.hamburg.de/badegewaesser ).Hier gibt es auch Informationen zum Anfahrtsweg, Hinweise zu Serviceeinrichtungen und Kurzbeschreibungen der Badestellen.",0.4567975934796493
57,Sie stehen bis zu den Knien im Wasser. Aber: Sie sehen Ihre Füße nicht mehr. Dann sind Blau-Algen im Wasser. Sie sollten nicht baden.,"Hinweise Wenn Sie ihre Füße im knietiefen Wasser nicht mehr sehen können, sollten sie nicht baden (Blaualgen).",0.8242133883831398
58,An den Bagger-Seen gibt es in Ufer-Nähe Abbruch-Kanten. Das Wasser ist an diesen Stellen schnell sehr tief.,"An den Baggerseen gibt es schon in Ufernähe Abbruchkanten, an denen das Wasser schnell sehr tief wird.",0.9382157908588893
59,Das kann gefährlich sein. Werfen Sie Abfälle immer in den Müll-Eimer. Benutzen Sie die Toiletten.,"Abfälle immer im Mülleimer entsorgen, nicht am Strand; bitte die bereitgestellten Toiletten benutzen und die Vegetation am Ufersaum von Seen schonen – sie dient dem Gewässerschutz.",0.6865887235383643
60,Füttern Sie nicht die Vögel.,Bitte keine Wasservögel füttern.,0.8538838961339044
61,Sie können hier lesen: Darum sollen Sie nicht in der Elbe baden Der Text ist in Leichter Sprache. Info: Ein Computer hat diesen Text in Leichte Sprache übertragen. Der Text ist nicht durch Menschen mit Behinderungen geprüft worden.,"Eine unnatürlich hohe Population schadet nicht nur dem Gewässer, sondern erhöht auch das Risiko eines Zerkarienbefalls.",0.5441279818310781
62,Sie können hier dazu mehr lesen.,"Rückfragen der Medien Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA) Pressestelle Renate Pinzke Telefon: 040 42840 8006 E-Mail: renate.pinzke@bukea.hamburg.de",0.016450904891777446
63,In Hamburg gibt es viele Industrie-Unternehmen. Industrie bedeutet große Fabriken. Hamburg ist sehr wichtig für die Industrie. Und die Industrie ist sehr wichtig für Hamburg.,"Durch die erforderliche Emissionsreduktion, die Digitalisierung und den Wandel der Arbeitswelt steht die Industrie auch künftig vor transformativen Herausforderungen.",0.7176776761652471
64,Viele Menschen in Hamburg arbeiten in Industrie-Unternehmen. Die Industrie-Unternehmen verdienen viel Geld. Und die Industrie-Unternehmen bezahlen viele Steuern: An die Stadt Hamburg. Aber es gibt auch Probleme: Die Industrie-Unternehmen brauchen viel Strom: Strom ist teuer geworden.,"Der „Masterplan Industrie 2023“ wurde heute durch Hamburgs Ersten Bürgermeister, Dr. Peter Tschentscher, Wirtschaftssenatorin Dr. Melanie Leonhard, sowie durch die Hausspitzen des Industrieverbands Hamburg, der Handelskammer und des DGB Nord unterzeichnet.",0.35220086776923504
65,Viele Industrie-Unternehmen verschmutzen die Luft. Durch Abgase von den Fabriken.,"Er beschreibt eine Vision von Hamburg als führende Modellregion für industrielle Wettbewerbsfähigkeit, Prosperität und Zukunftsentwicklung mit „Guter Arbeit“, Beschäftigungssicherung und beispielgebender Transformation zur Klimaneutralität.",0.5983207632528161
66,Die Stadt Hamburg will die Probleme lösen. Zusammen mit der Industrie.,"Die Hamburger Industrie soll damit zugleich in die Lage versetzt werden, krisenhaften Erschütterungen und Veränderungsprozessen standzuhalten. Dr. Melanie Leonhard, Senatorin für Wirtschaft und Innovation : „Der Senat der Freien und Hansestadt Hamburg bekennt sich zu seiner Industrie!",0.8307695095401095
67,Die Industrie soll in der Zukunft gut arbeiten können: Auch in schwierigen Zeiten.,"Wir stehen – gerade auch in diesen schwierigen Zeiten – an der Seite der Unternehmen. Insbesondere für die energieintensiven Industrien gibt es derzeit viele Herausforderungen. Wir sind gemeinsam der Auffassung, dass die anstehende Transformation nur im engen Zusammenwirken bewältigt werden kann.",0.7619321566359327
68,Und die Industrie soll besser für das Klima werden.,"Der Industrie kommt hierbei eine wichtige Rolle innerhalb der Gesamtgesellschaft zu, ohne die wir unsere Ziele etwa im Bereich der Emissionsreduktion ebenso wie dem Wandel der Arbeitswelt nicht werden erreichen können.“",0.7500829701124717
69,Die Stadt Hamburg hat deshalb einen Plan unterschrieben . Der Plan heißt: Master-Plan Industrie 2023.,"Prof. Norbert Aust, Präses Handelskammer Hamburg : „Im Rahmen des Masterplan Industrie werden die Kräfte für die starke Industrie Hamburgs und ihrer Zukunft gebündelt.",0.5563888786706985
70,Hamburgs Erster Bürgermeister Peter Tschentscher hat den Plan heute unterschrieben. Und die Wirtschafts-Senatorin hat den Plan unterschrieben.,Zentral hierfür sind eine sichere und wettbewerbsfähige Energieversorgung sowie ein wirksamer Rahmen für die Klimawende.,0.40335971297529205
71,Und der Chef vom Industrie-Verband Hamburg hat den Plan unterschrieben. Und der Chef von der Handels-Kammer.,"Viele der 17.000 in der Handelskammer Hamburg organisierten Industrieunternehmen sind bereits Vorbilder für eine wirtschaftlich tragfähige Klimawende. Der Masterplan Industrie unterstützt das lokale Handeln Hamburgs für diese existenzielle Zukunftsaufgabe. Es gilt jetzt, die verabredeten Maßnahmen rasch in Angriff zu nehmen und durch notwendige energiepolitische Maßnahmen auf Bundesebene zu flankieren.",0.5536580900014961
72,Und die Chefin vom DGB Nord.,Hamburgs derzeitige Bundesratspräsidentschaft bietet die Chance für zusätzlichen Schub.“,0.3432142600367602
73,DGB ist der Deutsche Gewerkschafts-Bund.,"Matthias Boxberger, Vorstandsvorsitzender Industrieverband Hamburg e.V. : „Die Industrie ist die Stärke Hamburgs.",0.5870999931426566
74,In dem Plan steht:,"Dennoch haben die Pandemie und der Krieg uns vor Augen geführt, dass unser Wohlstand nicht selbstverständlich ist, sondern auf einer Voraussetzung beruht: Unserer starken Industrie! Mit dem Hamburger Masterplan Industrie 2023 wollen wir diese Stärke nicht nur absichern, sondern nach vorn entwickeln. Um einer drohenden Deindustrialisierung entgegenzutreten, braucht die Hamburger Industrie ein hohes Niveau an Resilienz. Ob Klimawandel, demografische Entwicklung, Sicherheit oder sozialer Wohlstand – all diese Herausforderungen lassen sich nur mit einer innovativen und leistungsfähigen Industrie lösen.",-0.16098932013766062
75,So können wir die Industrie in Hamburg besser machen.,"Dass der Senat sich das Ziel setzt, Hamburg zur Modellregion für industrielle Wettbewerbsfähigkeit zu entwickeln, unterstützen wir ausdrücklich. Der vereinbarte Bau der A26-Ost und der Köhlbrandquerung, ist nur ein Beispiel, um dieses Ziel zu erreichen.",0.7233584452653179
76,So kann die Industrie mehr für den Umwelt-Schutz machen.,"Wir werden die getroffenen Vereinbarungen fortlaufend im Blick haben, denn jeder Plan ist nur dann wertvoll, wenn man ihn konsequent Tag für Tag verfolgt.",0.7425222146900159
77,Viele Industrie-Unternehmen in Hamburg machen schon etwas für den Umwelt-Schutz.,Ab jetzt zählen die Taten!“,0.22099239462289774
78,Sie sind ein Vorbild: Für andere Bundes-Länder in Deutschland.,"Laura Pooth, Vorsitzende Deutscher Gewerkschaftsbund Bezirk Nord : „Hamburg ist trotz großer Herausforderungen viel mehr als ein Industriestandort mit Zukunft. Die Hansestadt hat das Potenzial, im Verbund der norddeutschen Länder zu einer weltweit sichtbaren Modellregion für klimaneutrale Produktion zu werden. Diese Chance wollen wir gemeinsam nutzen. Dazu ist eine aktive und gestaltende Industriepolitik unbedingt notwendig.",0.6001442913448181
79,So kann die Industrie auch in Zukunft gut in Hamburg arbeiten.,"Im Masterplan Industrie haben wir Lösungen auf Augenhöhe entwickelt und Verabredungen getroffen, die in konkretes Handeln münden. Nur so schaffen wir eine zuverlässige, bezahlbare, klimaneutrale Energieversorgung im Verbund mit Guter Arbeit und der Sicherung von Wertschöpfungsketten und Beschäftigung. Wir haben in Hamburg mit dem Masterplan unsere Hausaufgaben gemacht, unser Signal geht jetzt auch nach Berlin und Brüssel: Es braucht die schnelle Einführung eines Industriestrompreises, damit der klimagerechte Umbau der Industrie gelingt und gute Arbeitsplätze in Hamburg erhalten bleiben."" Erster Bürgermeister Dr. Peter Tschentscher : „Die Industrie ist eine zentrale Säule der Hamburger Wirtschaft.",0.7757809000147827
80,So können wir neue Industrie-Unternehmen nach Hamburg bekommen.,"Sie übernimmt Verantwortung beim Klimaschutz und bietet moderne Arbeitsplätze. Mit dem Masterplan führen wir unsere Verabredungen aus dem Bündnis für die Industrie der Zukunft fort und schaffen gute Rahmenbedingungen für die Entwicklung der Industrieunternehmen in Hamburg. Dazu gehören schnelle Genehmigungsverfahren bei Ansiedlungen, Erweiterungen und neuen Projekten, die Bereitstellung geeigneter Flächen und die Unterstützung bei der Ausbildung von Fachkräften. In Zeiten der Krise mit Störungen von Lieferketten und hohen Energiekosten müssen wir die Industrie in Deutschland stärken - mit einem beschleunigten Ausbau der erneuerbaren Energien und der Einführung eines Industriestrompreises, der die internationale Wettbewerbsfähigkeit der Produktion in Deutschland erhält.“",0.592726375270108
81,Der Master-Plan Industrie ist wichtig: Für die Zukunft.,"Zum Inhalt Der Masterplan Industrie verbindet die Fortschreibung des bisherigen Masterplans und das “Bündnis für die Industrie der Zukunft“, untergliedert in fünf Handlungsfelder: Flächen und Infrastruktur, Innovation und Digitalisierung,",0.5581921686847913
82,An dem Plan wollen alle gemeinsam arbeiten.,"Klima, Energie und Umwelt, Arbeit, Bildung und Qualifizierung, Industrie und Gesellschaft. Jedes Handlungsfeld enthält Maßnahmen und Vereinbarungen, die die Partner gemeinsam umsetzen werden.",0.4876056038984311
83,Info: Ein Computer hat diesen Text in Leichte Sprache übertragen.,"Gemeinsame Ziele sind beispielsweise die dauerhafte Bereithaltung sofort verfügbarer städtischer Gewerbe- und Industrieflächen, der Ausbau der Hamburgischen Aktivitäten im Bereich Quantencomputing, eine Machbarkeitsstudie für die Einsatzmöglichkeiten von Technologien zur Kohlendioxid-Nutzung (Carbon Capture and Usage – CCU) in der Hamburger Industrie, Diversität und die Erhöhung des Frauenanteils auf allen Ebenen in der Hamburger Industrie sowie Durchführung von Dialogveranstaltungen im Rahmen der Akzeptanzkampagne für die Industrie. Eine Task Force „Resiliente Industrie“ wird Lösungsansätze für eine resiliente Industrie entwickeln.",0.3109984550481604
84,Der Text ist nicht durch Menschen mit Behinderungen geprüft worden.,Die Partner sind über verschiedene Gremien dauerhaft im engen Austausch miteinander.,0.5634584912205185
85,Sie können hier dazu mehr lesen.,"Nach fünf Jahren soll der Masterplan Industrie evaluiert werden. Zahlen, Daten, Fakten Vierzig Prozent der Umsätze in der Hamburger Wirtschaft entfallen auf den Industriesektor. Jeder sechste abhängig Beschäftigte in Hamburg ist in der Industrie tätig.",0.3708542540169935
92,Im Natur-Schutz-Gebiet Boberger Niederung gibt es Schafe . Die Schafe fressen das Gras. Jedes Jahr im Mai werden die Schafe in das Natur-Schutz-Gebiet gebracht.,"Die tierischen Landschaftspfleger tragen dazu bei, dem Aufwachsen von Gehölzen und einer Vergrasung der Flächen entgegenzuwirken. Zum Einsatz kommen 120 Heidschnucken und 15 Ziegen, die mit den mageren Bedingungen in der Boberger Niederung sehr gut zurechtkommen.",0.5695543601144173
93,Die Schafe bleiben bis Oktober im Natur-Schutz-Gebiet.,"Die fressenden Tiere halten nicht nur die Flächen offen, sondern vernetzen auch Lebensräume. In der Wolle verfangen sich Samen und Insekten, die so durch das Gebiet transportiert werden.",0.40991041854716453
94,Die Schafe fressen das Gras auf. Und sie fressen junge Bäume und Sträucher.,"Ziegen fressen im Gegensatz zu Schafen nicht nur Raufutter wie Gras, sondern auch junge Gehölze, dornige Sträucher und Rinde.",0.8614867764300226
95,Dann wachsen keine Bäume und Sträucher mehr. Das ist gut für die Natur. Es gibt viele Heidschnucken.,"Somit ergänzen sich Schafe und Ziegen in der Landschaftspflege und fördern den Erhalt der wertvollen offenen Lebensräume Heide, Düne und Trockenrasen.",0.6461902620439567
96,Das ist eine Schaf-Rasse. Und es gibt einige Ziegen. Eine Schäferin und ein Schäfer kümmern sich um die Schafe.,"Die Schafe und Ziegen ziehen durch das gesamte Naturschutzgebiet und werden von einer Schäferin und einem Schäfer begleitet. Diese bekommen Unterstützung von Hütehunden, die die Schafe und Ziegen zu den Flächen treiben.",0.7551568893869154
97,Der Schäfer und die Schäferin haben auch Hunde : Die Hunde bewachen die Schafe. Alle anderen Hunde müssen an der Leine sein. Im Natur-Schutz-Gebiet.,"Um die Hütehunde und Schafe bei ihrer Arbeit nicht zu stören, bittet die Umweltbehörde darum, mitgeführte Hunde entsprechend der Geboten für Naturschutzgebiete unbedingt anzuleinen.",0.7327602516570164
98,Das Boberger Dünen-Haus Das Boberger-Dünen-Haus ist ein Museum. Es gibt dort Infos über die Arbeit von der Schäferin und dem Schäfer. Und es wird erklärt: Darum sind die Schafe so wichtig für die Natur.,Weitere Informationen Das Boberger Dünenhaus informiert im Rahmen des „Schafsommers“ über die Arbeit der Schäferin und des Schäfers im Gebiet sowie über die Bedeutung der Tiere für die vorkommenden Lebensräume.,0.5674430233957827
100,Am 29. Mai 2023 scheren die Schäferin und der Schäfer die Schafe. Das heißt: Den Schafen wird die Wolle abgeschnitten.,Bei der Schur der Schafe am 29. Mai 2023 von 11:00 bis 13:00 Uhr können die Schäferin und der Schäfer bei ihrer Arbeit beobachtet und das Produkt Wolle erfahren werden.,0.7471024362481135
101,Sie können zuschauen. Am 29. Mai von 11 bis 13 Uhr.,Rückfragen der Medien,-0.09890121882720242
102,Sie können hier mehr Lesen: Über die Boberger-Dünen .,"Behörde für Umwelt, Klima, Energie und Agrarwirtschaft (BUKEA) David Kappenberg, stv.",0.26194981110330867
103,Der Text ist in Leichter Sprache.,Pressesprecher,0.207421503089767
104,Info: Ein Computer hat diesen Text in Leichte Sprache übertragen.,Telefon: 040 42840 3065,0.10077827642956111
105,Der Text ist nicht durch Menschen mit Behinderungen geprüft worden.,Mobil: 0151 1809 3879,-0.20104473759985317
106,Sie können hier dazu mehr lesen.,E-Mail: david.kappenberg@bukea.hamburg.de,-0.2255261790224656
108,Hamburg soll eine inklusive Stadt sein.,"Hierfür wird unter anderem eine Arbeitsgruppe „Inklusive Mobilitätswende“ bei der BVM eingerichtet. Ob beim Thema Fuß- und Radverkehr, ÖPNV, alternative Mobilitätsangebote oder autoarme Quartiere – Menschen mit Behinderungen werden als Expert:innen in eigener Sache in alle Planungsvorhaben mit einbezogen. Anjes Tjarks, Senator für Verkehr und Mobilitätswende: „Die gemeinsame Willenserklärung mit zehn Hamburger Verbänden verdeutlicht: Wir wollen und brauchen die Mobilitätswende für alle Menschen in Hamburg. Der Mobilitätsmix muss für alle Hamburgerinnen und Hamburger attraktive Verkehrsangebote bieten.",0.6698072376068684
109,Inklusiv heißt: Alle Menschen sollen in Hamburg gut leben können.,"Wir wollen Hamburg gesamtgesellschaftlich denken und bei unseren vielen Mobilitätsangeboten auf alle Gruppen zugehen – E-Klusion ist das Stichwort der Zukunft! Ein herausragendes Beispiel für die Symbiose von Antriebswende und Barrierefreiheit ist das Projekt Zukunftstaxi.“ Heiko Kunert, Vorstand der Hamburger Landesarbeitsgemeinschaft für behinderte Menschen e. V. (LAG) und Geschäftsführer des Blinden- und Sehbehindertenverein Hamburg e. V.: „Vor zwei Jahren kritisierten wir als „Bündnis barrierefreie Mobilitätswende – nur mit uns!“ die Umsetzung der Umbaumaßnahmen am Jungfernstieg und forderten mehr Dialog bei der Gestaltung des öffentlichen Raums und des ÖPNV. Die heute unterzeichnete gemeinsame Willenserklärung markiert ein wichtiges Ergebnis aus diesem Austausch und kann ein Meilenstein für die Umsetzung einer barrierefreien Verkehrsplanung in Hamburg sein.",0.5015796685307884
110,Und Hamburg will eine Verkehrs-Wende.,"Wir freuen uns, im Rahmen des nun geschlossenen Bündnisses einen Beitrag für mehr Teilhabe von Menschen mit Behinderung in Hamburg leisten zu können.“ Axel Graßmann, Geschäftsführer Lebenshilfe Hamburg: „Die gemeinsame Willenserklärung zur inklusiven Mobilitätswende der zehn Hamburger Verbände und der Behörde für Verkehr und Mobilitätswende ist ein Meilenstein der inklusiven Verkehrsplanung. Hieraus ergibt sich die Verpflichtung, die Bedarfe der unterschiedlichsten Menschen wahrzunehmen, mitzudenken und zu beachten. Inklusion bedeutet – Niemand bleibt „Außen vor“.",0.5629465572100854
111,Das heißt: Die Menschen sollen mehr mit der Bahn fahren.,"In der inklusiven Mobilitätswende ist dieses eine Aufgabe mit großer Herausforderung, an der wir uns gern beteiligen, um den Teil beizutragen, den wir aus unserer täglichen Arbeit und unseren Erfahrungen für Menschen mit komplexen Beeinträchtigungen, Menschen mit geistiger Behinderung, gut kennen.“",0.5299442158768667
112,Und mit dem Bus.,"Klaus Mourgues, Vorsitzender im BdS e. V. Hamburg: „Zu einer erfolgreichen inklusiven Mobilitätswende gehört auch der Abbau von Hör- und Kommunikationsbarrieren.“ Klaus Wicher, 1. Landesvorsitzender SoVD Hamburg: „Mobilität ist zugleich eine Grundvoraussetzung für soziale Teilhabe und Entwicklung des Gemeinwesens. Dabei gestalten sich Mobilitätsbedürfnisse individuell und sind von Faktoren wie Wohnumfeld, Alter, Gesundheit oder wirtschaftlicher wie beruflicher Situation abhängig.",0.21427785109591788
113,Und mit dem Fahrrad.,Mobilität muss überall und für alle in Hamburg verfügbar sein.,0.475248118398605
114,Das ist gut für die Umwelt.,"Es darf keine Hürden geben, weder bauliche noch finanzielle. Jeder muss sich Mobilität leisten können, um etwa den Arzt, Seniorentreff, Jugendtreff oder ein Theater zu erreichen. Und sie muss baulich barrierefrei sein, damit z. B. eine Rolli-Fahrerin ins Theater kommt und sie muss sprachlich barrierefrei sein.",0.5735119543477349
115,Die Menschen sollen wenig Auto fahren.,"Dabei ist bei der Mobilitätswende zu bedenken: Ältere, behinderte und manch kranke Menschen kaufen in der Regel weder mit dem Lastenrad ein noch überwinden sie per E-Roller die letzte Meile zur Physiotherapie.",0.7050558150241346
116,Die Verkehrs-Wende soll inklusiv sein.,"Die gesellschaftliche Funktion des ÖPNV ist nicht nur der Transport von A nach B. Wir müssen bedenken, dass Preissteigerungen für Bahn und Bus gerade in diesen Zeiten – eine zusätzliche Belastung sind. Sie erschweren die Teilhabe in einer Gesellschaft, in der Mobilität nicht alles, aber vieles ist, besonders im beruflichen Leben. Der SoVD Hamburg plädiert schon lange für ein kostenfreies Ticket für alle bedürftigen Menschen, seien es Bürgergeld-Bezieher, Alleinerziehende oder Ältere mit schmaler Rente oder junge Menschen. Alle müssen Teil der sozialökologischen Wende sein.“",0.6431273292755242
117,Das heißt: Alle Menschen in Hamburg sollen die Verkehrs-Mittel gut nutzen können.,"Carmen Hagemeister vom Vorstand des FUSS e. V. Hamburg: „Barrierefreie Wege sind für alle Fußgänger:innen günstig.“ Kerrin Stumpf, Geschäftsführerin Leben mit Behinderung Hamburg e. V.: „Wir werden mit darauf achten, dass mit einem Mobilitätsmix wirklich alle Hamburgerinnen und Hamburger Teilhabe erleben können.“ Kristin Alheit, Geschäftsführerin des PARITÄTISCHEN Wohlfahrtsverbands Hamburg: „Wir begrüßen es sehr, dass sich der Hamburger öffentliche Nahverkehr auf den Weg macht, inklusiver und barrierefreier zu werden.",0.6230665501523943
118,Auch Menschen mit Behinderungen.,"Denn er sollte für alle Hamburger:innen gut nutzbar sein, auch für Menschen mit Beeinträchtigungen.",0.6815490263593562
119,Die Menschen mit Behinderungen sind Experten für Barriere-Freiheit.,"Hier muss Hamburg in der Tat noch besser werden. Die Zusammenarbeit mit dem Bündnis Mobilitätswende hilft, möglichst alle Aspekte von Barrierefreiheit zu berücksichtigen. Die Mobilitätswende darf niemanden zurücklassen.",0.7610187761585326
120,10 Verbände haben sich zusammengetan. Zu einem Bündnis.,"Die nun verabredeten Punkte sind gute Meilensteine, um dieses Ziel zu erreichen.“",0.5481571549423249
121,Das heißt: Sie wollen zusammen-arbeiten. Das ist der Name vom Bündnis: Bündnis Mobilitäts-Wende - nur mit uns!,"Ulrike Kloiber, Senatskoordinatorin für die Gleichstellung von Menschen mit Behinderungen: „Barrierefreie Mobilität – das bedeutet eine Verkehrsinfrastruktur zu schaffen, die es Menschen mit und ohne Behinderungen ermöglicht, sich selbstbestimmt im öffentlichen Raum bewegen zu können. Insbesondere das Thema barrierefreie Fahrgastinformationen stellt noch eine Herausforderung dar.",0.22240371481264684
122,Die Verbände haben eine Erklärung unterschrieben. Zusammen mit der Behörde für Verkehr und Mobilitäts-Wende.,"Informationen zu Fahrzielen, Liniennummern und Hinweise auf Betriebsstörungen müssen auch für blinde Menschen und Menschen mit Hörbeeinträchtigung gleichermaßen zugänglich sein. Ich freue mich sehr, dass die BVM und die Interessensvertretungen von Menschen mit Behinderungen mit der gemeinsamen Willenserklärung Hand in Hand gehen, um eine inklusive Mobilitätswende in Hamburg voranzutreiben. Inklusion und Barrierefreiheit stellen neben Klimaneutralität eine wichtige Voraussetzung für eine gemeinsame und zukunftsfähige Gesellschaft dar.“",0.8526328648043097
123,Für eine Mobilitäts-Wende für alle Menschen.,Gemeinsame Willenserklärung für eine inklusive Mobilitätswende,0.7221436178674667
124,Diese Verbände sind in dem Bündnis:,"Das Bündnis „Mobilitätswende - nur mit uns!“, in dem sich die folgenden Verbände zusammengeschlossen haben:",0.6470005612973995
125,Der Blinden- und Sehbehinderten-Verein Hamburg e. V.,Blinden- und Sehbehindertenverein Hamburg e. V. (BSVH),0.8049239965444263
126,Der Bund der Schwerhörigen e. V.,Bund der Schwerhörigen e. V. (BdS),0.8249577294015
127,FUSS e. V. Hamburg,FUSS e. V. Hamburg,1.0
128,Landes-Arbeits-Gemeinschaft für behinderte Menschen,Landesarbeitsgemeinschaft für behinderte Menschen (LAG),0.32754594977335905
129,Landes-Senioren-Beirat Hamburg,Landes-Seniorenbeirat Hamburg (LSB),0.2734327685576188
130,Leben mit Behinderung Hamburg Eltern-Verein e. V.,Leben mit Behinderung Hamburg Elternverein e. V.,0.9957155040190934
