,Source,link_leicht,URL,sents_leicht,sents_standard
33,P_manually,,zwischenbericht,"Diese Angebote sollen Ihnen helfen, Ihren Alltag selbstbewusst zu meistern. Zum Beispiel, indem Sie Lesen, Schreiben und Rechnen lernen.","Lesen, Schreiben und Rechnen sind Kenntnisse, die über die Arbeit hinaus im Alltag benötigt werden. Sie können weitere Angebote wählen, die Ihnen helfen, Ihren Alltag zu meistern."
34,P_manually,,zwischenbericht,Fortbildung und Weiterbildung,Fort- und Weiterbildung
35,P_manually,,zwischenbericht,Sie möchten sich beruflich weiter entwickeln?,Sie möchten sich beruflich weiterentwickeln? Sie möchten in einem neuen Tätigkeitsfeld arbeiten? Sie möchten neue Aufgaben übernehmen?
36,P_manually,,zwischenbericht,Die GWW bietet viele Fortbildungen und Weiterbildungen an.,Wir bieten Ihnen zur Qualifizierung oder beruflichen Weiterentwicklung ein großes Fort- und Weiterbildungsangebot.
37,P_manually,,zwischenbericht,Qualifizierungen,Qualifizierungen
38,P_manually,,zwischenbericht,Sie können bei der GWW Teil-Qualifizierungen in verschiedenen Berufs-Bereichen machen.,Qualifizieren Sie sich in Ihrem Wunschbereich. Wir bieten Ihnen arbeitsmarktnahe Teilqualifizierung in verschiedenen Fachrichtungen.
39,P_manually,,zwischenbericht,Das sind Teile einer anerkannten Berufs-Ausbildung.,Die Inhalte haben direkten Bezug zu anerkannten Ausbildungsberufen.
40,P_manually,,zwischenbericht,Job-Coaching,Jobcoaching
41,P_manually,,zwischenbericht,"Die Job-Coaches unterstützen Sie bei der Suche nach einem Arbeitsplatz. Durch verschiedene Praktika können Sie ausprobieren,",Fokus Praxis: Sie arbeiten und lernen unter realen Bedingungen.
42,P_manually,,zwischenbericht,welche Arbeit Ihnen Spaß macht und zu Ihnen passt.,Die Jobcoaches begleiten Sie auf dem Weg zu Ihrem Ziel.
43,P_manually,,zwischenbericht,Werkstatt Transfer,Werkstatt Transfer
44,P_manually,,zwischenbericht,"Das Angebot Werkstatt Transfer hilft Menschen, die bei der Arbeit in der Werkstatt mehr Hilfe brauchen.","Ziel der Werkstatt Transferleistung ist es, die Fähigkeiten zur Teilhabe am Arbeitsleben zu erhalten und zu stärken."
45,P_manually,,zwischenbericht,Campus Mensch,Campus Mensch
46,P_manually,,zwischenbericht,Wir helfen Ihnen bei der Suche nach einem Arbeitsplatz,Fokus Praxis: Sie arbeiten und lernen unter realen Bedingungen.
47,P_manually,,zwischenbericht,auf dem allgemeinen Arbeitsmarkt. Wir begleiten Sie bei Ihren Praktika vor Ort.,"Über gezielte, begleitete Praktika bieten wir Ihnen die Chance, sich auf dem allgemeinen Arbeitsmarkt zu orientieren."
48,P_manually,,zwischenbericht,"Mit unserer Hilfe lernen Sie am Arbeitsplatz die Arbeiten, die Sie an dem Arbeitsplatz können müssen.",Spezifische Fähigkeiten und Fertigkeiten werden am Arbeitsplatz auf- und ausgebaut und arbeitsplatzrelevante Inhalte geschult.
49,P_manually,,zwischenbericht,Sie möchten neue Dinge lernen? Sie möchten Ihre Arbeit gut können?,Bildung ist Grundlage einer lebenslangen Teilhabe in der Gesellschaft
50,P_manually,,zwischenbericht,In der GWW können Sie das. Wir haben viele Angebote für Sie.,Die GWW hält unterschiedliche Bildungsangebote in den Landkreisen Böblingen und Calw vor.
51,P_manually,,zwischenbericht,Wir bringen Ihnen neue Dinge bei.,"Über den Weg der beruflichen Qualifizierung und Weiterbildung fördert und schafft die GWW Teilhabe für Menschen mit Behinderungen, mit Autismus oder mit seelischen Erkrankungen. Dies gilt für die weitgehend selbstbestimmte Lebensgestaltung oder für die Vorbereitung auf einen Arbeitsplatz. Wir achten stets darauf, dass neben der Fachkompetenz auch die Entwicklung der Persönlichkeit und des Selbstbewusstseins Beachtung finden. Unsere Bildungsangebote bauen auf bisher erworbenen Fähigkeiten, Fertigkeiten und Kompetenzen auf und sorgen für deren Erhalt und Weiterentwicklung."
52,P_manually,,zwischenbericht,"Und wir helfen Ihnen bei der Arbeit. Sie sagen uns, was Ihnen Spaß macht.",Durch gezielte Maßnahmen steigern wir Ihre Handlungsfähigkeit und damit auch die Zufriedenheit am Arbeitsplatz.
53,P_manually,,zwischenbericht,Wir finden zusammen das richtige Angebot für Sie.,Die Förderung erfolgt im Rahmen einer individuellen Zielplanung. Die Inhalte entwickeln wir stets zusammen mit Ihnen als Teilnehmende.
54,P_manually,,zwischenbericht,"Wir haben verschiende Angebote für verschiedene Menschen,",Mit unserem umfassenden Angebot ermöglichen wir lebenslange Bildung.
55,P_manually,,zwischenbericht,unabhängig von ihrer Behinderung. Da ist für alle das Richtige dabei.,Dieser Anspruch gilt für alle Menschen in der GWW unabhängig von ihrer Behinderung.
56,P_manually,,zwischenbericht,"Uns ist es sehr wichtig, dass Sie bei uns zufrieden sind.",Unsere Bildungsangebote sind daher auch für Menschen mit Autismus in unterschiedlichen Ausprägungen zugänglich.
57,P_manually,,zwischenbericht,Eingangsverfahren,Eingangsverfahren
58,P_manually,,zwischenbericht,"Sie sind bis zu 3 Monate bei uns. In dieser Zeit finden wir gemeinsam heraus, was Sie schon alles können.",In einer maximal 3-monatigen Phase ermitteln wir die kognitiven und motorischen Fähigkeiten unserer Teilnehmer.
59,P_manually,,zwischenbericht,"Wir reden gemeinsam über Ihre Ziele. Und versuchen die Ziele gemeinsam zu erreichen. Dazu machen wir mit Ihnen einen Plan. In diesem Plan steht, welche Ziele Sie erreichen möchten.",Auf Basis der persönlichen Ergebnisse vereinbaren die Fachkräfte gemeinsam mit dem Teilnehmenden individuelle Ziele und erstellen einen passgenauen Eingliederungsplan.
60,P_manually,,zwischenbericht,Und wie Sie die Ziele erreichen können.,
61,P_manually,,zwischenbericht,"Unser Ziel ist es, dass Sie eine Arbeit finden.",
62,P_manually,,zwischenbericht,Eine Arbeit die Sie können und die Ihnen Spaß macht.,
63,P_manually,,zwischenbericht,"Wir schauen, ob Sie in den Berufs-Bildungs-Bereich gehen können. Dort können Sie sich auf einen Arbeitsplatz vorbereiten. Sie haben Fragen?","Es wird gemeinsam geprüft, ob der Berufsbildungsbereich die geeignete Maßnahme auf dem Weg zur beruflichen Orientierung und Platzierung darstellt."
64,P_manually,,zwischenbericht,Sie können sich bei uns melden.,
65,P_manually,,zwischenbericht,Berufs-Bildungs-Bereich,Berufs-Bildungs-Bereich
66,P_manually,,zwischenbericht,Der Berufs-Bildungs-Bereich heißt auch BBB.,"Erwachsene Menschen mit einer Behinderung, Autismus oder seelischen Erkrankungen haben im BBB die Möglichkeit, sich beruflich zu orientieren und zu qualifizieren. Es werden kognitive Fähigkeiten trainiert und motorische Fertigkeiten ausgebaut. Soziale Kompetenzen werden weiterentwickelt und die Persönlichkeit wird gestärkt und gefördert. Die Eingliederungsplanung wird fortgeschrieben und bietet die Grundlage der beruflichen Orientierung und Qualifizierung."
67,P_manually,,zwischenbericht,Im BBB können Sie sich auf eine Arbeit vorbereiten.,Dabei arbeitet die GWW auf Basis bundesweit anerkannter Berufsbilder.
68,P_manually,,zwischenbericht,Sie können ein Praktikum machen. Oder bei einem Projekt mitmachen. Dadurch lernen Sie verschiedene Arbeiten kennen.,"Durch entsprechende Schulungsmodule, Projekte und Praktika lernen die Teilnehmer in maximal zwei Jahren selbstständiges und gezieltes Arbeiten."
69,P_manually,,zwischenbericht,"Und finden einen Arbeitsplatz, der Ihnen gefällt.","Ziel ist es, einen geeigneten Arbeits-, Ausbildungsplatz oder eine Qualifizierungsmaßnahme zu finden."
70,P_manually,,zwischenbericht,Sie sind 1 bis 2 Jahre im BBB.,1. Jahr: Grund-Kurs BBB
71,P_manually,,zwischenbericht,Berufs-Bildungs-Bereich Der Berufs-Bildungs-Bereich heißt auch BBB. Im BBB können Sie sich auf eine Arbeit vorbereiten.,"Im Grundkurs verbessern Sie das, was Sie schon können. Sie sind mit anderen Menschen zusammen."
72,P_manually,,zwischenbericht,Sie können ein Praktikum machen.,Dadurch lernen Sie mit anderen Menschen zu arbeiten.
73,P_manually,,zwischenbericht,Oder bei einem Projekt mitmachen.,Und mit anderen Menschen umzugehen.
74,P_manually,,zwischenbericht,Dadurch lernen Sie verschiedene Arbeiten kennen.,Sie können verschiedene Arbeiten kennenlernen.
75,P_manually,,zwischenbericht,"Und finden einen Arbeitsplatz, der Ihnen gefällt. Sie sind 1 bis 2 Jahre im BBB.","Und auch verschiedene Berufe. Dadurch können Sie eine Arbeit finden, die Ihnen Spaß macht."
76,P_manually,,zwischenbericht,2. Jahr: Aufbau-Kurs BBB,2. Jahr: Aufbau-Kurs BBB
77,P_manually,,zwischenbericht,Im Aufbaukurs bereiten Sie sich auf einen Arbeitsplatz vor.,Im Aufbaukurs bereiten Sie sich auf einen Arbeitsplatz vor.
78,P_manually,,zwischenbericht,"Sie lernen Dinge, die Sie für den Arbeitslatz brauchen.","Sie lernen Dinge, die Sie für den Arbeitslatz brauchen."
79,P_manually,,zwischenbericht,"Sie lernen, wie Sie sich richtig bewerben.","Sie lernen, wie Sie sich richtig bewerben."
80,P_manually,,zwischenbericht,"Wir helfen Ihnen, einen Arbeitsplatz für Sie zu finden.","Wir helfen Ihnen, einen Arbeitsplatz für Sie zu finden."
81,P_manually,,zwischenbericht,Sie können in der GWW arbeiten.,Sie können in der GWW arbeiten.
82,P_manually,,zwischenbericht,Oder auch in einer anderen Werkstatt.,Oder auch in einer anderen Werkstatt.
83,P_manually,,zwischenbericht,Sie können auf einem Werkstattplatz in einem anderen Unternehmen arbeiten.,Sie können auf einem Werkstattplatz in einem anderen Unternehmen arbeiten.
84,P_manually,,zwischenbericht,Oder in einem Integrations-Unternehmen.,Oder in einem Integrations-Unternehmen.
85,P_manually,,zwischenbericht,In einem Integrations-Unternehmen arbeiten Menschen,In einem Integrations-Unternehmen arbeiten Menschen
86,P_manually,,zwischenbericht,mit und ohne Behinderung.,mit und ohne Behinderung.
87,P_manually,,zwischenbericht,"Wir helfen Ihnen bei der Bewerbung,","Wir helfen Ihnen bei der Bewerbung,"
88,P_manually,,zwischenbericht,wenn Sie auf dem allgemeinen Arbeitsplatz arbeiten wollen.,wenn Sie auf dem allgemeinen Arbeitsplatz arbeiten wollen.
89,P_manually,,zwischenbericht,Fort- und Weiterbildung,Fort- und Weiterbildung
90,P_manually,,zwischenbericht,für Menschen mit Behinderung und Personal,für Menschen mit Behinderung und Personal
91,P_manually,,zwischenbericht,Sie wollen neue Arbeiten kennen lernen? Sie wollen andere Dinge ausprobieren?,Sie möchten sich beruflich weiterentwickeln? Sie möchten in einem neuen Tätigkeitsfeld arbeiten?
92,P_manually,,zwischenbericht,Sie möchten etwas Neues lernen?,Sie möchten neue Aufgaben übernehmen?
93,P_manually,,zwischenbericht,Bei uns können Sie das.,Unser weites Spektrum an Fort- und Weiter­bildungs­angeboten ist sowohl auf Ihren persönlichen Bedarf als Mitarbeiter als auch an den Anforderungen am Arbeitsplatz ausgerichtet.
94,P_manually,,zwischenbericht,Sie können sich bei uns weiterbilden. Sie lernen in kleinen Gruppen neue Dinge.,"Die Angebote sind immer themenorientiert, schrittweise aufgebaut und können individuell belegt werden. Ein Teil unserer Schulungen findet integrativ statt."
95,P_manually,,zwischenbericht,Sie verbessern das was Sie schon können.,"Menschen mit Behinderung, Autismus oder seelischer Erkrankung, sowie unser Personal erhalten beständig Angebote zur beruflichen und persönlichen Fort- und Weiter­bildung."
96,P_manually,,zwischenbericht,Dadurch bekommen Sie mehr Sicherheit bei dem was Sie tun.,"Darauf legen wir großen Wert, denn berufliche Fort- und Weiter­bildung bringt jedem einzelnen mehr Fachlichkeit, mehr Sicherheit und Perspektiven am Arbeitsplatz."
97,P_manually,,zwischenbericht,Bei uns können Sie lernen was Sie möchten.,"Es ist uns besonders wichtig, das Wissen und Können unserer Mitarbeiter zu erhalten und zu erweitern."
98,P_manually,,zwischenbericht,Sie können aus verschiedenen Bildungs-Angeboten auswählen. Sie können das Gelernte bei Ihrer Arbeit benutzen. Aber auch im Alltag.,Die professionelle Basis bieten 20 Jahre Erfahrung im Bereich Fort- und Weiterbildung von Menschen mit und ohne Behinderung.
99,P_manually,,zwischenbericht,Qualifizierungen,Qualifizierungen
100,P_manually,,zwischenbericht,"Bei der GWW können Sie sich qualifizieren. Qualifizieren heißt sich weiterbilden. Wir möchten, dass Sie dadurch einen Arbeitsplatz finden.","Wir bieten berufliche Bildung für Menschen mit Behinderung, Autismus oder seelischer Erkrankung. Menschen mit erhöhtem Förderbedarf finden bei uns arbeitsmarktnahe Qualifizierungsmöglichkeiten in verschiedenen Fachrichtungen."
101,P_manually,,zwischenbericht,Einen Arbeitsplatz den Sie mögen.,Unsere Qualifizierungsinhalte orientieren sich an anerkannten Berufsabschlüssen und die Unterweisung erfolgt im dualen System (Theorie und Praxis im Wechsel).
102,P_manually,,zwischenbericht,Und der Ihnen Spaß macht.,Die Fachschulung in Kleingruppen wird durch begleitete Praxisphasen im Betrieb ergänzt.
103,P_manually,,zwischenbericht,Deshalb gibt es verschiedene Weiterbildungen. Sie lernen so viel Sie können.,Auf diese Weise können Sie die Schulungsinhalte direkt in der Praxis erproben.
104,P_manually,,zwischenbericht,Und so viel Sie wollen. Damit Sie Ihr eigenes Ziel erreichen können.,Im Mittelpunkt steht Ihre persönliche und berufliche Weiterentwicklung zur Verbesserung Ihrer Beschäftigungschancen.
105,P_manually,,zwischenbericht,Alltagsbetreuer,Alltagsbetreuer
106,P_manually,,zwischenbericht,,Alltagsbetreuer (m/w)
107,P_manually,,zwischenbericht,mit staatlich anerkanntem Abschluss,(optional: staatliche Anerkennung)
108,P_manually,,zwischenbericht,Sie mögen andere Menschen. Sie mögen es sich mit anderen Menschen zu unterhalten. Sie helfen gerne anderen Menschen.,In Kooperation mit der 1a Zugang Beratungsgesellschaft mbH.
109,P_manually,,zwischenbericht,Dann möchten Sie vielleicht Alltagsbetreuer werden.,"Es gibt Menschen, die im Alltag Hilfe benötigen."
110,P_manually,,zwischenbericht,Die Qualifizierung in der GWW dauert 2 Jahre. Sie lernen anderen Menschen im Alltag zu helfen.,Um diese Menschen zu unterstützen entwickeln Sie in der Qualifizierung die nötigen Fähigkeiten und Fertigkeiten.
111,P_manually,,zwischenbericht,Sie helfen anderen Menschen beim Einkaufen. Sie helfen ihnen bei der Freizeitgestaltung. Sie können sich um verschiedene Menschen kümmern.,"Dazu gehört z. B.: einkaufen, im Haushalt helfen, bei der Pflege unterstützen, Freizeitgestaltung usw."
112,P_manually,,zwischenbericht,Sie können sich um alte Menschen kümmern. Oder um Menschen in einer Wohngruppe. Oder um Menschen im Förder- und Betreuungsbereich. Sie haben dabei immer Unterstützung von einer Fachkraft.,"Diese Aufgaben erledigen Sie unter Anleitung einer Fachkraft in einer Wohngruppe, im Förder- und Betreuungsbereich, in einer Werkstatt für Menschen mit Behinderung, im Altenheim oder bei hilfsbedürftigen Personen, die zu Hause leben."
113,P_manually,,zwischenbericht,Nach 2 Jahren machen Sie eine Abschlussprüfung.,"Als Alltagsbetreuer haben Sie die entsprechenden Fachkenntnisse und Kompetenzen um den Bedürfnissen der einzelnen Person gerecht zu werden. Diese Qualifizierung beinhaltet die Anforderungen nach §§ 43b, 53b SGB XI, um als zusätzliche Betreuungskraft in Pflegeheimen arbeiten zu können."
114,P_manually,,zwischenbericht,"Wenn Sie die Prüfung bestehen, bekommen Sie ein Zeugnis. Nach der Prüfung sind Sie staatlich anerkannter Alltagsbetreuer. Dann können Sie überall in Deutschland als Alltagsbetreuer arbeiten. Die Qualifizierung zum Alltagsbetreuer ist ein duales System.","Der Abschluss zum staatlich anerkannten Alltagsbetreuer befähigt Sie eine aufbauende Ausbildung zu absolvieren (Altenpflege-, Heilerziehungspflegehilfe), oder Sie arbeiten als Alltagsbetreuer auf einem geeigneten Arbeitsplatz des allgemeinen Arbeitsmarktes."
115,P_manually,,zwischenbericht,"Das heißt, Sie sind abwechselnd in der Schule und bei der Arbeit. 1 Woche im Monat sind Sie in der Schule. Dort lernen Sie in kleinen Gruppen zusammen. Sie haben verschiedene Unterrichtsfächer:",Fachlagerist
116,P_manually,,zwischenbericht,Alltagsbetreuung,Fachlagerist (m/w)
117,P_manually,,zwischenbericht,Gesundheitslehre und Pflege Praxis- und Methodenlehre Rechts- und Berufskunde,(optional: inklusive Gabelstaplerschein und IHK-Prüfung)
118,P_manually,,zwischenbericht,Deutsch und Mathematik Religion 3 Wochen im Monat arbeiten Sie in einer Praxis-Stelle. Eine Praxis-Stelle ist zum Beispiel der Förder- und Betreuungsbereich.,In Kooperation mit der 1a Zugang Beratungsgesellschaft mbH.
119,P_manually,,zwischenbericht,Fachlageristen Sie können sich zum Fachlagerist weiterbilden.,Bei der GWW können sich Menschen mit Behinderung zum Fachlageristen qualifizieren.
120,P_manually,,zwischenbericht,Diese Weiterbildung braucht 2 Jahre. Am Ende machen Sie eine Prüfung. Wenn Sie die Prüfung bestehen bekommen Sie ein Zeugnis. In dem Zeugnis steht wie gut Sie sind.,Diese Qualifizierung kann mit einer praktischen und theoretischen Prüfung abgeschlossen werden.
121,P_manually,,zwischenbericht,Dieses Zeugnis bekommen Sie von der Industrie- und Handelskammer. Und es wird staatlich anerkannt.,"Zudem bieten wir die Möglichkeit, eine Prüfung vor der Industrie- und Handelskammer (IHK) abzulegen."
122,P_manually,,zwischenbericht,"Dadurch können Sie überall in Deutschland als Fachlagerist arbeiten. Die Weiterbildung zum Fachlagerist ist ein duales System. Das heißt, Sie sind abwechselnd in der Schule und in einem Lager. 1 bis 2 Wochen im Monat sind Sie in der Schule.",Bei bestandener Prüfung erhalten Sie ein Zeugnis mit anerkanntem IHK-Abschluss.
123,P_manually,,zwischenbericht,Dort lernen Sie in kleinen Gruppen. Sie haben verschiedene Unterrichtsfächer: Wirtschafts- und Sozialkunde Warenwirtschaft und Rechnungswesen,Im Rahmen unserer Qualifizierungsangebote erfolgt die zielgerichtete Wissensvermittlung und Prüfungsvorbereitung in kleinen Lerngruppen.
124,P_manually,,zwischenbericht,Fachkunde Lagerwirtschaft Persönlichkeitsförderung Sie werden von uns beim Lernen unterstützt. Wir helfen Ihnen wenn Sie Probleme beim Lernen haben.,Dabei gehen wir auf die individuellen Bedürfnisse der Teilnehmenden ein - immer unter Berücksichtigung der jeweiligen Stärken und Schwächen.
125,P_manually,,zwischenbericht,2 bis 3 Wochen im Monat sind Sie in einem Lager. Sie sind in einem Lager von uns. Oder in einem Lager von einem anderen Betrieb.,Die praktische Qualifizierung findet in einem unserer Lager oder in einem Lager kooperierender Betriebe statt.
126,P_manually,,zwischenbericht,Sie lernen wie die Fahrzeuge im Lager funktionieren.,Dort lernen Sie die praktischen Tätigkeiten und den Umgang mit den Flurförderzeugen.
127,P_manually,,zwischenbericht,Sie bekommen Hilfe von den Arbeitern im Lager.,"Sie können bei uns auch einen Gabelstaplerführerschein erwerben. Am Ende der Qualifizierung unterstützen wir Sie bei Ihren Bewerbungsaktivitäten und dabei, einen passenden Arbeitsplatz zu finden."
128,P_manually,,zwischenbericht,Verkäufer im Einzelhandel,Verkäufer im Einzelhandel
129,P_manually,,zwischenbericht,Sie wollen in einem Supermarkt oder in einer Bäckerei arbeiten?,Verkäufer (m/w) im Einzelhandel (IHK)
130,P_manually,,zwischenbericht,Ihnen macht es Spaß mit anderen Menschen zusammen zu sein?,In Kooperation mit Femos gGmbH und der 1a Zugang Beratungsgesellschaft mbH.
131,P_manually,,zwischenbericht,Dann können Sie Verkäufer werden.,Campus Mensch bietet Menschen mit Behinderung die Möglichkeit sich modular im Berufsbild des Verkäufers im Einzelhandel zu qualifizieren.
132,P_manually,,zwischenbericht,Die Qualifizierung geht mindestens 2 Jahre. Sie lernen wie man in einem Betrieb arbeitet. Und wie Sie die Waren bestellen und überprüfen.,Diese Qualifizierung ist an den bundesweit anerkannten Ausbildungsberuf (nach BBiG) angelehnt und kann nach mindestens 2 Jahren mit einer praktischen und theoretischen Prüfung vor der Industrie- und Handelskammer (IHK) abgechlossen werden.
133,P_manually,,zwischenbericht,Sie lernen auch wie man mit Kunden umgeht.,Bei bestandener Prüfung erhalten Sie einen anerkannten IHK-Abschluss. Je nach persönlichem Potential und Qualifizierungsziel können Sie jedoch auch nur einzelne Module besuchen und sich arbeitsplatzbezogen qualifizieren (z. B. für die Tätigkeit als Verkaufshelfer oder Fachgehilfe im Einzelhandel). Sie erhalten dann ein qualifiziertes GWW-Zertifikat.
134,P_manually,,zwischenbericht,Und wie man Kunden berät und hilft.,Als Verkäufer veräußern Sie Waren und Dienstleistungen.
135,P_manually,,zwischenbericht,"Am Ende Ihrer Qualifizierung machen Sie eine Prüfung. Wenn Sie die Prüfung bestehen, bekommen Sie ein Zeugnis. Das Zeugnis bekommen Sie von der Industrie- und Handelskammer.","Ebenso zählt zu Ihren Aufgaben das Annehmen, Auszeichnen und die Präsentation von Waren. Sie prüfen den Lagerbestand, führen Qualitätskontrollen durch und bestellen Ware."
136,P_manually,,zwischenbericht,Dieses Zeugnis wird staatlich anerkannt.,Darüber hinaus informieren und beraten Sie Kunden und nehmen Reklamationen entgegen.
137,P_manually,,zwischenbericht,Somit können Sie überall in Deutschland als Verkäufer arbeiten.,Verkäufer sind in verschiedenen Einzelhandelsfachgeschäften tätig.
138,P_manually,,zwischenbericht,"Die Qualifizierung zum Verkäufer ist ein duales System. Das heißt, Sie sind abwechselnd in der Schule und in einem Betrieb. 1 bis 2 Wochen sind Sie in der Schule.","Dazu zählen neben Supermärkten und Kaufhäusern unter anderem Baumärkte, Modehäuser, Gemüseläden, Fleichereien, Bäckereien sowie auch der Versandhandel. Wie bei allen unseren Qualifizierungen haben Sie ein bis zwei Wochen Theorieunterricht im Monat."
139,P_manually,,zwischenbericht,Dort lernen Sie in kleinen Gruppen für die Prüfung.,Die zielgerichtete Wissensvermittlung und Prüfungsvorbereitung erfolgt in kleinen Lerngruppen.
140,P_manually,,zwischenbericht,Wir beachten dabei Ihre Stärken und auch Ihre Schwächen.,Dabei gehen wir auf die individuellen Bedürfnisse der Teilnehmenden ein - immer unter Berücksichtigung der jeweiligen Stärken und Schwächen.
141,P_manually,,zwischenbericht,2 bis 3 Wochen sind Sie in einem Betrieb. Dies kann zum Beispiel der CAP-Markt sein.,Die praktische Qualifizierung findet in einem unserer Kooperationsbetriebe (z.B. CAP-Markt) statt.
142,P_manually,,zwischenbericht,Dort können Sie das Gelernte bei der Arbeit benutzen.,Dort erlernen Sie die praktischen Tätigkeiten und übertragen Ihr theoretisches Wissen in die Fachpraxis.
143,P_manually,,zwischenbericht,Persönliche Bildung,Persönliche Bildung
144,P_manually,,zwischenbericht,Wir helfen Ihnen neue Dinge zu lernen. Dabei beachten wir Ihre Bedürfnisse. Und was Sie schon alles können. Sie können Lesen lernen.,Angebote zur Persönlichen Bildung
145,P_manually,,zwischenbericht,Sie können Schreiben lernen. Sie können Rechnen lernen. Das ist wichtig für die Arbeit. Und das ist wichtig für Ihren Alltag.,Sie möchten selbstbewusst Ihren Alltag gestalten?
