,sentence_normal,sentence_leicht,score
15,"Soweit Sie oder andere Personen in Ihrem Haushalt einen Hund halten, müssen Sie ihn innerhalb von vier Wochen nach der Aufnahme zur Hundesteuer anmelden.","['Wenn Sie einen Hund haben: Dann müssen Sie Hunde-Steuer bezahlen.', 'Wenn Sie sich einen Hund anschaffen: Dann müssen Sie den Hund innerhalb von 4 Wochen anmelden.']","[0.7076966762542725, 0.8396124243736267]"
16,"Steuerermäßigung oder -befreiung Wenn Sie Empfänger*in von laufender Hilfe zum Lebensunterhalt oder von laufender Grundsicherung im Alter und bei Erwerbsminderung nach dem Zwölften Buch des Sozialgesetzbuches sind, können Sie für einen Hund eine Ermäßigung beantragen.","['Wenn Sie laufende Hilfe zum Lebensunterhalt bekommen: Dann können Sie eine Ermäßigung beantragen.', 'Das gilt auch: wenn Sie laufend Grund-Sicherung im Alter oder bei Erwerbs-Minderung bekommen.', 'Das sind Hilfen nach dem 12. Buch aus dem Sozial-Gesetz-Buch.']","[0.7112201452255249, 0.5713860988616943, 0.42024552822113037]"
17,"Wenn Sie Ihren Hund nach dem Landeshundegesetz auch beim Ordnungsamt anmelden müssen, können Gebühren anfallen: für große Hunde 25 Euro; für gefährliche Hunde und Hunde bestimmter Rassen je nach Einzelfall.","['Dazu gehören diese Hunde: die gefährlich sind, von bestimmten Rassen zum Beispiel: Rottweiler, die eine Schulter-Höhe von 40 Zentimetern haben, wenn sie ausgewachsen sind. Ausgewachsen heißt: wenn sie erwachsen sind und nicht mehr weiter wachsen. die 20 Kilo-Gramm schwer sind.', 'Das Anmelden beim Ordnungs-Amt kostet 25 Euro.', 'Manchmal müssen Sie mehr bezahlen. Zum Beispiel: Wenn Sie einen gefährlichen Hund haben. Oder einen Hund bestimmter Rassen.']","[0.45339280366897583, 0.5348231196403503, 0.6830542087554932]"
18,"Wenn der Hund aus dem Wurf einer von Ihnen gehaltenen Hündin stammt, müssen sie ihn innerhalb von vier Wochen, nachdem der Hund sechs Monate alt geworden ist, zur Hundesteuer anmelden.","['Wenn Ihre Hündin schwanger ist und Babys bekommt: Dann dürfen die jungen Hunde 6 Monate alt werden.', 'Nach den 6 Monaten müssen Sie die Hunde innerhalb von 4 Wochen anmelden.']","[0.575184166431427, 0.8153796792030334]"
19,Zum Nachweis ist eine Kopie der Vorder- und Rückseite des Schwerbehindertenausweises oder des Feststellungsbescheides des Bürgeramtes Mülheim gemeinsam mit der Anmeldung vorzulegen.,"['Wenn Sie das beantragen wollen: Dann brauchen wir von Ihnen: eine Kopie von Ihrem Schwer-Behinderten-Ausweis, von Vorder-Seite und von Rück-Seite, oder Eine Kopie vom Bescheid der Abteilung: Feststellungs-Verfahren nach dem Schwer-Behinderten-Recht.']",[0.7424739599227905]
20,Zur Anmeldung können Sie das neue Online-Anmeldeverfahren nutzen.,"['Das können Sie im Internet tun.', 'Wir haben dafür ein neues Internet-Formular.']","[0.4226154088973999, 0.632959246635437]"
21,7 Rechtliche Voraussetzungen §§ 44 und 45 Bundesmeldegesetz( BMG),"['Die Regeln zur Melde-Auskunft stehen im Bundes-Melde-Gesetz.', 'Die Abkürzung dafür ist: BMG.', 'Die Regeln stehen in Paragraf 44 und 45. Ein Paragraf ist ein Teil von einem Gesetz.']","[0.5030560493469238, 0.3587445318698883, 0.5484140515327454]"
22,"Angaben zur gesuchten Person Für die eindeutige Identifikation der gesuchten Person können Sie eine oder mehrere der folgenden Angaben machen: Familienname, Frühere Namen, Vorname, Geburtsdatum, Geschlecht, Anschrift.","['Dort müssen Sie die Infos über die Person aufschreiben, die Sie suchen. Zum Beispiel: Den Vornamen und Nachnamen. Oder die letzte bekannte Adresse.', 'Wenn Sie nur 3 dieser Angaben machen können, müssen Sie 1 weitere von folgenden Angaben machen: Geburts-Ort. Frühere Namen. Zum Beispiel Geburts-Name. Oder früherer Ehe-Name.', 'Also ob sie verheiratet ist. Oder ob sie geschieden ist. Oder ob die Ehe-Frau oder der Ehe-Mann gestorben ist.', 'Welchem Land die Person angehört. Zum Beispiel: Ob sie Deutsche oder Deutscher ist. Oder Türkin oder Türke. Und so weiter.']","[0.8195148706436157, 0.7300618886947632, 0.23567715287208557, 0.3029504418373108]"
23,"Archivauskunft Wollen Sie eine Auskunft über eine Person erhalten, die vor längerer Zeit in Köln wohnhaft war und danach verzogen ist?","['Sie suchen eine Person, die seit langem nicht mehr in Köln wohnt?', 'In dem Brief schreiben Sie: dass Sie eine Person suchen, die einmal in Köln gewohnt hat. welche Person Sie suchen. die Infos zu dieser Person, die Sie kennen. und warum Sie die Infos brauchen. Das schwere Wort dafür ist: Verwendungs-Zweck.']","[0.7554238438606262, 0.6517187356948853]"
24,"Benötigt werden Antrag mit den Meldedaten der Person, soweit sie Ihnen bekannt sind.",['Für die Suche nach der Person brauchen wir von Ihnen mindestens 4 Angaben.'],[0.5915552973747253]
25,"Bestätigung im Antrag, dass Sie die Auskunft nicht für Zwecke der Werbung und des Adresshandels verwenden.","['In so einem Fall informieren wir die Person nicht über die Melde-Auskunft.', 'Sie müssen erklären: Dass Sie die Infos nicht für Werbung brauchen. Und dass Sie die Infos nicht für den Handel von Adressen brauchen.']","[0.5192302465438843, 0.7552428245544434]"
26,"Bitte beachten Sie, dass wir Meldeunterlagen nur für den Zeitraum von 50 Jahren nach Wegzug oder Tod aufbewahren dürfen.","['Wie lange bewahren wir die Akten im Archiv auf?', 'Bis zu 50 Jahre nachdem die Person umgezogen ist. Oder nachdem die Person gestorben ist.']","[0.4632057845592499, 0.5706824064254761]"
27,"Bitte verwenden Sie dafür das unter "" Downloads und Infos "" hinterlegte Formular.","['Auf dieser Seite können Sie mehr dazu lesen.', 'Diesen Grund müssen Sie uns beweisen.']","[0.4213300943374634, 0.1737476885318756]"
28,Bitte überweisen Sie die Gebühr auf folgendes Konto bei der Sparkasse KölnBonn: IBAN: DE 89 3705 0198 0093 1329 75 BIC: COLSDE 33 XXX Verwendungszweck: Buchungsstelle 9709. 000. 1230.,"['Schicken Sie den Brief an die Adresse: Abteilung Einwohner-Wesen Postfach 10 35 64 50475 Köln.', 'Sie müssen das Geld überweisen. Überweisen heißt: Geld von einem Konto auf ein anderes Konto schicken.', 'Auf unser Konto bei der Sparkasse Köln-Bonn.', 'Das sind die Konto-Daten, die Sie dafür brauchen: IBAN: DE 89 3705 0198 0093 1329 75 BIC: COLSDE 33 XXX Verwendungs-Zweck: Buchungsstelle 9709. 000. 1230.']","[0.5828084349632263, 0.35842686891555786, 0.5125770568847656, 0.8653507828712463]"
29,"Dann können Sie beantragen, die letzte in Köln gespeicherte Anschrift zu erfahren.","['Dann können Sie bei uns erfahren, welche Adresse die Person zuletzt in Köln hatte. Diese Info heißt Melde-Auskunft.', 'Nachname, Vorname, die letzte Adresse in Köln, die Sie kennen, Geburts-Tag mit Geburts-Jahr.']","[0.857458233833313, 0.6127296090126038]"
30,"Die Auskunftserteilung ist zulässig, wenn die gesuchte Person über eine Angabe oder eine Kombination aus mehreren Angaben eindeutig bestimmbar ist. Welche Art Meldeauskunft?","['Wenn Sie alle 4 Angaben machen können, reicht das für den Antrag aus.', 'Ob die Person weiblich oder männlich ist.']","[0.4208693504333496, 0.3101862370967865]"
31,"Die Gebühr ist für jede angefragte Person und auch in folgenden Fällen zu entrichten: wenn die mitgeteilte Anschrift bereits bekannt ist, bei einer neutralen Antwort( wenn eine Auskunft aus tatsächlichen oder rechtlichen Gründen nicht oder derzeit nicht erteilt werden kann).","['Wichtig: Sie müssen auch bezahlen, wenn wir Ihren Antrag auf Melde-Auskunft ablehnen. Oder wenn wir Ihnen keine neuen Infos geben können.']",[0.5870230793952942]
32,Die ermittelte Person wird unverzüglich über die Erteilung einer erweiterten Meldeauskunft unter Angabe der Datenempfängerin oder des Datenempfängers informiert.,"['Wenn wir Ihnen eine erweiterte Melde-Auskunft geben, schreiben wir der Person, die Sie suchen: über die Melde-Auskunft. dass Sie die Melde-Auskunft bekommen.']",[0.6578075885772705]
33,Dienstleistung ohne Termin Für diese Dienstleistung wenden Sie sich bitte ohne Termin zu den allgemeinen Öffnungszeiten an die Info-Theke des Kundenzentrums.,['Sie können ohne Termin zu uns kommen.'],[0.4376642405986786]
34,"Dies gilt nicht, wenn Sie ein rechtliches Interesse, insbesondere zur Geltendmachung von Rechtsansprüchen, glaubhaft gemacht haben.","['Sie haben einen rechtlichen Grund dazu. Zum Beispiel: Die Person schuldet Ihnen Geld. Und Sie wollen das Geld zurück haben, das die Person Ihnen schuldet.', 'Ausnahme: Wenn Sie einen rechtlichen Grund dafür haben und uns diesen Grund bewiesen haben. Zum Beispiel: Wenn die Person Ihnen Geld schuldet. Und Sie wollen das Geld von der Person bekommen.']","[0.3972688615322113, 0.5387647151947021]"
35,Eine Einfache Meldeauskunft können Sie auch sofort online einholen.,"['Dann bekommen Sie sofort eine einfache Melde-Auskunft.', 'Das ist der schnellste Weg.', 'Dann bekommen Sie die Infos sofort.', 'Klicken Sie dazu bitte auf den nächsten Satz: Dann kommen Sie zu einer neuen Internet-Seite.', 'Sie können die Überweisung auch im Internet machen.']","[0.6884429454803467, 0.19656990468502045, 0.4507109224796295, 0.3296428322792053, 0.6656862497329712]"
36,Eine Einfache Melderegisterauskunft auf Rechnung oder andere Zahlungsweisen sind online leider nicht möglich.,"['Wichtig: Sie können auch mit Kredit-Karte bezahlen.', 'Andere Zahlungs-Weisen sind online leider nicht möglich.']","[0.40286731719970703, 0.7837550044059753]"
37,Eine Einfache Melderegisterauskunft können Sie sofort online erhalten.,"['Dann bekommen Sie die Auskunft aus dem Melde-Register sofort.', 'Von der Internet-Seite von Ihrer Bank.']","[0.6502490639686584, 0.37646427750587463]"
38,Eine Mindestanzahl der anzugebenden Daten ist gesetzlich nicht gefordert.,"['Sie müssen dazu nicht ins Amt kommen.', 'Sie müssen dafür keinen Termin machen.']","[0.3407365381717682, 0.341647207736969]"
39,"Eine einfache Meldeauskunft können Sie auch online einholen - siehe "" Einfache Meldeauskunft online "".",['Wichtig: Die einfache Melde-Auskunft können Sie auch im Internet bekommen.'],[0.8463578224182129]
40,"Einfache Meldeauskunft Kann mit den von Ihnen mitgeteilten Daten eine Person eindeutig festgestellt werden, dann erhalten Sie die Auskunft über folgende Daten: Vornamen und Familiennamen, Doktorgrad und, letzte bekannte Anschrift.","['Wenn wir die Person eindeutig feststellen können, bekommen Sie diese Infos: Vorname und Nachname, Doktor-Titel, wenn die Person einen hat, letzte bekannte Adresse.']",[0.9090890288352966]
41,Einfache Melderegisterauskunft online Eine einfache Melderegisterauskunft über eine andere Person können Sie auch online einholen.,"['Sie können online nach der Person suchen.', 'Es gibt 3 Wege nach einer Person zu suchen: 1. Sie können eine einfache Melde-Auskunft sofort online bekommen.', 'Online bedeutet: Sie suchen im Internet nach der Person.']","[0.4985902011394501, 0.7323726415634155, 0.4245033264160156]"
42,"Erweiterte Meldeauskunft Soweit es sich nicht nur beispielsweise um ein Klassentreffen handelt, sondern Sie ein berechtigtes Interesse nachweisen können, dürfen Ihnen über die Daten einer einfachen Meldeauskunft hinaus weitere melderechtliche Daten zu der gesuchten Person mitgeteilt werden.","['Erweiterte Melde-Auskunft bedeutet, dass wir Ihnen noch mehr Infos zu der Person geben.', 'Sie können nur dann eine erweiterte Melde-Auskunft bekommen, wenn Sie einen wichtigen Grund dafür haben.']","[0.5426321625709534, 0.6565329432487488]"
43,Gebühren Gebühren für eine einfache Meldeauskunft online: 6 Euro( die Bezahlung erfolgt im ePayment -Verfahren während des Online -Vorgangs; bitte nicht vorab überweisen!),"['Sie müssen für die Auskunft 6 Euro bezahlen.', 'Sie müssen das Geld sofort bezahlen. Dazu sagen wir: Last-Schrift-Verfahren.']","[0.6198898553848267, 0.42710986733436584]"
44,"Gebühren bei Vorsprache in einem Kundenzentrum oder bei schriftlicher Anfrage: 11 Euro für eine einfache Meldeauskunft, 15 Euro für eine erweiterte Meldeauskunft, 19, 50 Euro für eine Archivauskunft mit einfacher Recherche, 24, 50 Euro für eine Archivauskunft mit komplexer Recherche.","['Es gibt 3 Arten: Die einfache Melde-Auskunft, Die erweiterte Melde-Auskunft, Die Archiv-Auskunft.', 'Diese Kosten müssen Sie für jede Person bezahlen, über die Sie eine Melde-Auskunft beantragt haben: 6 Euro für eine einfache Melde-Auskunft im Internet, 11 Euro für eine einfache Melde-Auskunft mit der Post, 15 Euro für eine erweiterte Melde-Auskunft.', '19 Euro 50 Cent für eine Archiv-Auskunft mit einfacher Suche.', '24 Euro 50 Cent für eine Archiv-Auskunft mit umfassender Suche. Das heißt: Wenn die Suche mehr Arbeit macht.']","[0.5199329853057861, 0.7411696314811707, 0.7070092558860779, 0.7701800465583801]"
45,Kopie des Kontoauszugs bei einer schriftlichen Anfrage an die Abteilung Einwohnerwesen für eine aktuelle einfache oder erweiterte Melderegisterauskunft.,['7 2. Sie müssen eine Kopie von Ihrem Konto-Auszug mit schicken.'],[0.5521122217178345]
46,"Nach Angabe der erforderlichen Daten zur Person, Eingabe Ihrer Bankverbindung und erfolgreicher Prüfung Ihrer Daten erhalten Sie sofort die Melderegisterauskunft.","['Als Beweis können Sie uns eine Rechnung zeigen, die Sie der Person geschrieben haben.', 'Deshalb müssen Sie Ihre Bank-Daten aufschreiben. Zum Beispiel: Ihre Konto-Nummer.', 'Wir prüfen dann Ihre Daten.', 'Dazu füllen Sie bei Ihrer Bank einen Zettel aus. Der Zettel heißt: Überweisungs-Schein.', 'Das Geld wird dann von Ihrem Konto genommen. Und kommt auf unser Konto bei unserer Bank.', 'Dazu brauchen Sie ein Pass-Wort von Ihrer Bank.', 'Achtung: Wenn Sie nicht wissen, wie Sie Geld überweisen können, lassen Sie es sich von jemandem zeigen. Oder fragen Sie Ihre Bank.']","[0.40710270404815674, 0.5721809267997742, 0.47976386547088623, 0.45315617322921753, 0.42843323945999146, 0.4345684051513672, 0.37585240602493286]"
47,"Sie brauchen Meldedaten zu einer bestimmten Person, weil Sie zum Beispiel ein Klassentreffen organisieren wollen, ein Familienmitglied suchen oder Rechtsansprüche gegen jemanden haben?","['Sie suchen eine Person? Und Sie haben einen Grund dafür? Zum Beispiel: Sie wollen mit jemandem aus Ihrer Familie Kontakt aufnehmen. Oder Sie planen ein Klassen-Treffen mit Ihren Schul-Freunden von früher.', 'Sie wissen aber nicht, wo die Schul-Freunde heute wohnen.']","[0.7217870950698853, 0.28465360403060913]"
48,Sie können den Antrag formlos stellen oder das Antragsformular aus dem Downloadservice nutzen.,['Sie müssen dazu keinen Antrag stellen.'],[0.43068450689315796]
49,"Siehe unter "" Angaben zur gesuchten Person "".",['Welchen Familien-Stand die Person hat.'],[0.3414233922958374]
50,"Sofern Sie eine schriftliche Anfrage wegen einer einfachen oder erweiterten Meldeauskunft an die Abteilung Einwohnerwesen senden möchten, müssen Sie die Gebühr vorab überweisen und Ihrer Anfrage eine Kopie des Kontoauszugs beifügen.","['Wichtig: Wenn Sie nicht persönlich zu uns kommen, sondern Ihre Anfrage mit der Post schicken an die Abteilung Einwohner-Wesen, dann müssen Sie 2 Dinge beachten: 1. Sie müssen das Geld VORHER überweisen.']",[0.6829155087471008]
51,Vorsprache Sie können für Ihre Anfrage ohne Termin in einem Kundenzentrum vorsprechen oder Ihre Anfrage schriftlich an die Abteilung Einwohnerwesen richten.,"['Hier finden Sie mehr Infos zum Bezahlen im Internet: 2. Sie können auch einen Antrag stellen: im Kunden-Zentrum Innenstadt. Oder einem anderen Kunden-Zentrum in Köln.', 'Die Adressen von den Kunden-Zentren finden Sie unten unter der Überschrift: Weitere Infos. 3. Sie können auch einen Brief schreiben an die Abteilung Einwohner-Wesen.', 'Sie können sich bei Ihrer Bank helfen lassen.']","[0.5178161859512329, 0.5742667317390442, 0.2774893641471863]"
52,"Weitere Erläuterungen finden Sie unter "" Gebühren "".",['Wie kann ich bezahlen?'],[0.2780984342098236]
53,"Weitere Informationen finden Sie bei "" Gebühren "".","['Damit wir sehen können, dass Sie das Geld bezahlt haben.']",[0.23131413757801056]
54,"Wenn Sie eine Archivauskunft zu Meldedaten aus der Zeit vor 1986 benötigen, können Sie sich mit einer schriftlichen Anfrage auch direkt an das Historische Archiv wenden.","['Dann schauen wir für Sie im Archiv nach. Dazu sagen wir: Archiv-Auskunft.', 'Ein Archiv ist ein Ort, wo wir alte Akten aufbewahren.']","[0.5028707385063171, 0.4668314456939697]"
55,Archivauskunft Für Auskünfte zu Meldedaten aus der Zeit vor 1986 bedarf es in der Regel einer Archivrecherche.,['Melde-Daten aus der Zeit vor 1986 bekommen Sie im Historischen Archiv.'],[0.8420978784561157]
56,"Aus der einfachen Meldebescheinigung geht hervor, wer wo gemeldet ist.","['Eine Melde-Bescheinigung ist ein Papier mit den Melde-Daten von einer Person.', 'Wir bestätigen mit dem Papier: Wo eine Person gemeldet ist.', 'Also wo die Person wohnt.', 'Es gibt die einfache Melde-Bescheinigung.', 'Darin steht nur: Wer, wo gemeldet ist.', 'Dann sehen Sie die Adresse und die Öffnungs-Zeiten.', 'Die Abkürzung dafür ist: BMG.']","[0.6481656432151794, 0.6739012002944946, 0.34094178676605225, 0.6134070754051208, 0.7410563230514526, 0.4238809645175934, 0.17573875188827515]"
57,"Beachten Sie bei Ihrer Anfrage daher, dass die Bearbeitungsdauer bis zu zwölf Wochen betragen kann und hierfür höhere Gebühren anfallen.",['Beachten Sie bitte: Die Archiv-Auskunft dauert bis zu 6 Wochen.'],[0.499117910861969]
58,"Bei Ihrer Anmeldung, Ummeldung oder Abmeldung händigen wir Ihnen einmalig eine kostenfreie Meldebestätigung aus.","['Sie bekommen von uns 1 kosten-freie Melde-Bescheinigung beim Anmelden von Ihrer Wohnung in Köln, beim Ummelden von Ihrer Wohnung in Köln, oder beim Abmelden von Ihrer Wohnung in Köln.', 'Schreiben Sie uns dafür bitte einen Brief.']","[0.6621915102005005, 0.3568040132522583]"
59,"Benötigt werden Personalausweis oder Reisepass der antragstellenden Person, Nationalpass mit Aufenthaltsgenehmigung der antragstellenden Person Für Ausländer*innen aus der Europäischen Union genügt der Nationalpass.","['Manchmal brauchen Sie eine weitere Melde-Bescheinigung für einen Antrag beim Amt, für Pass-Angelegenheiten, oder für private Zwecke.']",[0.6025280952453613]
60,Bitte beachten Sie: Die Kundenzentren können in der Regel nur auf Meldedaten bis etwa 1985 zurückgreifen.,"['Bitte beachten Sie: Die Kunden-Zentren haben nur Melde-Daten bis 1985.', 'Die Kunden-Zentren haben meist nur Melde-Daten bis 1985.']","[0.9263134002685547, 0.9250391721725464]"
61,Bitte lesen Sie hierzu bei den ähnlichen Dienstleistungen die Informationen zur Meldeauskunft.,"['Hier erklären wir die Unterschiede.', 'Bitte lesen Sie dazu die Infos zur Melde-Auskunft.', 'Die Regeln zur Melde-Bescheinigung stehen im Bundes-Melde-Gesetz.']","[0.11886028945446014, 0.7841925024986267, 0.5417804718017578]"
62,Dienstleistung ohne Termin Diese Dienstleistung erhalten Sie ohne Termin im Kundenzentrum Ihrer Wahl an der Infotheke.,"['In dieser Liste finden Sie alle Kunden-Zentren in Köln.', 'Klicken Sie auf ein Kunden-Zentrum in Ihrer Nähe.']","[0.38271212577819824, 0.5618269443511963]"
63,"Diese muss eine Vollmacht, ein gültiges Ausweisdokument des * der Vollmachtgeber*in, sowie ihren eigenen Ausweis. vorlegen.","['Für eine Melde-Bescheinigung müssen Sie uns diese Papiere zeigen: Ihren Personal-Ausweis, oder Ihren Pass.', 'Für eine Melde-Bescheinigung müssen Sie zu uns kommen. Und Sie müssen uns Ihren Personal-Ausweis oder Pass zeigen.', 'Sie müssen es diesem Menschen schriftlich erlauben. Diese Erlaubnis heißt Vollmacht.', 'Eine Vollmacht ist ein Papier.', 'Den Namen von diesem Menschen schreiben Sie auf das Papier.', 'Sie müssen das Papier unterschreiben.', 'Der Mensch muss uns im Amt diese Papiere zeigen: Die Vollmacht. Und seinen Personal-Ausweis oder Reise-Pass. Und Ihren Personal-Ausweis oder Pass.']","[0.655850350856781, 0.6170518398284912, 0.6017237901687622, 0.4853687882423401, 0.31404104828834534, 0.46406832337379456, 0.7771313786506653]"
64,"Eine erweiterte Meldebescheinigung enthält im Gegensatz zur einfachen Meldebescheinigung zusätzliche Angaben, beispielsweise über Familienstand, Staatsangehörigkeit und frühere Kölner Anschriften.",['In der erweiterten Melde-Bescheinigung stehen Melde-Daten und zusätzliche Angaben. Zum Beispiel: Infos zur Staats-Angehörigkeit Staats-Angehörigkeit bedeutet: Dass eine Person zu einem bestimmten Land gehört. Zum Beispiel: Weil die Person dort geboren ist. Oder weil die Person in das Land eingewandert ist.'],[0.5971674919128418]
65,"Einzelheiten, wie zum Beispiel der Familienstand oder frühere Kölner Anschriften, werden in einer einfachen Meldebescheinigung nicht aufgeführt.",['Infos zu früheren Adressen in Köln.'],[0.43122440576553345]
66,"Für die Bestätigung von Anschriften, die nicht mehr im aktuellen Melderegister der Kundenzentren vorhanden sind, bedarf es einer Archivauskunft.","['Für ältere Melde-Daten brauchen Sie eine Auskunft aus dem Archiv. Zum Beispiel für die Bestätigung von früheren Adressen, die nicht mehr im aktuellen Melde-Register von den Kunden-Zentren sind.']",[0.9288955926895142]
