,sents_leicht,sents_standard,label
55,Welche Bade-Seen gibt es in Hamburg Wie komme ich dorthin? Was gibt es an den Bade-Seen? Die Internet-Adresse ist: www.hamburg.de/badegewaesser Der Text ist in schwieriger Sprache.,"Alle aktuellen Ergebnisse und die Bewertung der Wasserqualität der Hamburger Badegewässer sind auf der Internetseite der Behörde für Umwelt, Klima, Energie und Agrarwirtschaft veröffentlicht ( www.hamburg.de/badegewaesser ).Hier gibt es auch Informationen zum Anfahrtsweg, Hinweise zu Serviceeinrichtungen und Kurzbeschreibungen der Badestellen.",1
57,Sie stehen bis zu den Knien im Wasser. Aber: Sie sehen Ihre Füße nicht mehr. Dann sind Blau-Algen im Wasser. Sie sollten nicht baden.,"Hinweise Wenn Sie ihre Füße im knietiefen Wasser nicht mehr sehen können, sollten sie nicht baden (Blaualgen).",1
58,An den Bagger-Seen gibt es in Ufer-Nähe Abbruch-Kanten. Das Wasser ist an diesen Stellen schnell sehr tief.,"An den Baggerseen gibt es schon in Ufernähe Abbruchkanten, an denen das Wasser schnell sehr tief wird.",1
59,Das kann gefährlich sein. Werfen Sie Abfälle immer in den Müll-Eimer. Benutzen Sie die Toiletten.,"Abfälle immer im Mülleimer entsorgen, nicht am Strand; bitte die bereitgestellten Toiletten benutzen und die Vegetation am Ufersaum von Seen schonen – sie dient dem Gewässerschutz.",1
60,Füttern Sie nicht die Vögel.,Bitte keine Wasservögel füttern.,1
61,Sie können hier lesen: Darum sollen Sie nicht in der Elbe baden Der Text ist in Leichter Sprache. Info: Ein Computer hat diesen Text in Leichte Sprache übertragen. Der Text ist nicht durch Menschen mit Behinderungen geprüft worden.,"Eine unnatürlich hohe Population schadet nicht nur dem Gewässer, sondern erhöht auch das Risiko eines Zerkarienbefalls.",1
63,In Hamburg gibt es viele Industrie-Unternehmen. Industrie bedeutet große Fabriken. Hamburg ist sehr wichtig für die Industrie. Und die Industrie ist sehr wichtig für Hamburg.,"Durch die erforderliche Emissionsreduktion, die Digitalisierung und den Wandel der Arbeitswelt steht die Industrie auch künftig vor transformativen Herausforderungen.",1
64,Viele Menschen in Hamburg arbeiten in Industrie-Unternehmen. Die Industrie-Unternehmen verdienen viel Geld. Und die Industrie-Unternehmen bezahlen viele Steuern: An die Stadt Hamburg. Aber es gibt auch Probleme: Die Industrie-Unternehmen brauchen viel Strom: Strom ist teuer geworden.,"Der „Masterplan Industrie 2023“ wurde heute durch Hamburgs Ersten Bürgermeister, Dr. Peter Tschentscher, Wirtschaftssenatorin Dr. Melanie Leonhard, sowie durch die Hausspitzen des Industrieverbands Hamburg, der Handelskammer und des DGB Nord unterzeichnet.",1
65,Viele Industrie-Unternehmen verschmutzen die Luft. Durch Abgase von den Fabriken.,"Er beschreibt eine Vision von Hamburg als führende Modellregion für industrielle Wettbewerbsfähigkeit, Prosperität und Zukunftsentwicklung mit „Guter Arbeit“, Beschäftigungssicherung und beispielgebender Transformation zur Klimaneutralität.",1
66,Die Stadt Hamburg will die Probleme lösen. Zusammen mit der Industrie.,"Die Hamburger Industrie soll damit zugleich in die Lage versetzt werden, krisenhaften Erschütterungen und Veränderungsprozessen standzuhalten. Dr. Melanie Leonhard, Senatorin für Wirtschaft und Innovation : „Der Senat der Freien und Hansestadt Hamburg bekennt sich zu seiner Industrie!",1
67,Die Industrie soll in der Zukunft gut arbeiten können: Auch in schwierigen Zeiten.,"Wir stehen – gerade auch in diesen schwierigen Zeiten – an der Seite der Unternehmen. Insbesondere für die energieintensiven Industrien gibt es derzeit viele Herausforderungen. Wir sind gemeinsam der Auffassung, dass die anstehende Transformation nur im engen Zusammenwirken bewältigt werden kann.",1
68,Und die Industrie soll besser für das Klima werden.,"Der Industrie kommt hierbei eine wichtige Rolle innerhalb der Gesamtgesellschaft zu, ohne die wir unsere Ziele etwa im Bereich der Emissionsreduktion ebenso wie dem Wandel der Arbeitswelt nicht werden erreichen können.“",1
69,Die Stadt Hamburg hat deshalb einen Plan unterschrieben . Der Plan heißt: Master-Plan Industrie 2023.,"Prof. Norbert Aust, Präses Handelskammer Hamburg : „Im Rahmen des Masterplan Industrie werden die Kräfte für die starke Industrie Hamburgs und ihrer Zukunft gebündelt.",1
70,Hamburgs Erster Bürgermeister Peter Tschentscher hat den Plan heute unterschrieben. Und die Wirtschafts-Senatorin hat den Plan unterschrieben.,Zentral hierfür sind eine sichere und wettbewerbsfähige Energieversorgung sowie ein wirksamer Rahmen für die Klimawende.,1
71,Und der Chef vom Industrie-Verband Hamburg hat den Plan unterschrieben. Und der Chef von der Handels-Kammer.,"Viele der 17.000 in der Handelskammer Hamburg organisierten Industrieunternehmen sind bereits Vorbilder für eine wirtschaftlich tragfähige Klimawende. Der Masterplan Industrie unterstützt das lokale Handeln Hamburgs für diese existenzielle Zukunftsaufgabe. Es gilt jetzt, die verabredeten Maßnahmen rasch in Angriff zu nehmen und durch notwendige energiepolitische Maßnahmen auf Bundesebene zu flankieren.",1
72,Und die Chefin vom DGB Nord.,Hamburgs derzeitige Bundesratspräsidentschaft bietet die Chance für zusätzlichen Schub.“,1
73,DGB ist der Deutsche Gewerkschafts-Bund.,"Matthias Boxberger, Vorstandsvorsitzender Industrieverband Hamburg e.V. : „Die Industrie ist die Stärke Hamburgs.",1
75,So können wir die Industrie in Hamburg besser machen.,"Dass der Senat sich das Ziel setzt, Hamburg zur Modellregion für industrielle Wettbewerbsfähigkeit zu entwickeln, unterstützen wir ausdrücklich. Der vereinbarte Bau der A26-Ost und der Köhlbrandquerung, ist nur ein Beispiel, um dieses Ziel zu erreichen.",1
76,So kann die Industrie mehr für den Umwelt-Schutz machen.,"Wir werden die getroffenen Vereinbarungen fortlaufend im Blick haben, denn jeder Plan ist nur dann wertvoll, wenn man ihn konsequent Tag für Tag verfolgt.",1
78,Sie sind ein Vorbild: Für andere Bundes-Länder in Deutschland.,"Laura Pooth, Vorsitzende Deutscher Gewerkschaftsbund Bezirk Nord : „Hamburg ist trotz großer Herausforderungen viel mehr als ein Industriestandort mit Zukunft. Die Hansestadt hat das Potenzial, im Verbund der norddeutschen Länder zu einer weltweit sichtbaren Modellregion für klimaneutrale Produktion zu werden. Diese Chance wollen wir gemeinsam nutzen. Dazu ist eine aktive und gestaltende Industriepolitik unbedingt notwendig.",1
79,So kann die Industrie auch in Zukunft gut in Hamburg arbeiten.,"Im Masterplan Industrie haben wir Lösungen auf Augenhöhe entwickelt und Verabredungen getroffen, die in konkretes Handeln münden. Nur so schaffen wir eine zuverlässige, bezahlbare, klimaneutrale Energieversorgung im Verbund mit Guter Arbeit und der Sicherung von Wertschöpfungsketten und Beschäftigung. Wir haben in Hamburg mit dem Masterplan unsere Hausaufgaben gemacht, unser Signal geht jetzt auch nach Berlin und Brüssel: Es braucht die schnelle Einführung eines Industriestrompreises, damit der klimagerechte Umbau der Industrie gelingt und gute Arbeitsplätze in Hamburg erhalten bleiben."" Erster Bürgermeister Dr. Peter Tschentscher : „Die Industrie ist eine zentrale Säule der Hamburger Wirtschaft.",1
80,So können wir neue Industrie-Unternehmen nach Hamburg bekommen.,"Sie übernimmt Verantwortung beim Klimaschutz und bietet moderne Arbeitsplätze. Mit dem Masterplan führen wir unsere Verabredungen aus dem Bündnis für die Industrie der Zukunft fort und schaffen gute Rahmenbedingungen für die Entwicklung der Industrieunternehmen in Hamburg. Dazu gehören schnelle Genehmigungsverfahren bei Ansiedlungen, Erweiterungen und neuen Projekten, die Bereitstellung geeigneter Flächen und die Unterstützung bei der Ausbildung von Fachkräften. In Zeiten der Krise mit Störungen von Lieferketten und hohen Energiekosten müssen wir die Industrie in Deutschland stärken - mit einem beschleunigten Ausbau der erneuerbaren Energien und der Einführung eines Industriestrompreises, der die internationale Wettbewerbsfähigkeit der Produktion in Deutschland erhält.“",1
81,Der Master-Plan Industrie ist wichtig: Für die Zukunft.,"Zum Inhalt Der Masterplan Industrie verbindet die Fortschreibung des bisherigen Masterplans und das “Bündnis für die Industrie der Zukunft“, untergliedert in fünf Handlungsfelder: Flächen und Infrastruktur, Innovation und Digitalisierung,",1
82,An dem Plan wollen alle gemeinsam arbeiten.,"Klima, Energie und Umwelt, Arbeit, Bildung und Qualifizierung, Industrie und Gesellschaft. Jedes Handlungsfeld enthält Maßnahmen und Vereinbarungen, die die Partner gemeinsam umsetzen werden.",1
83,Info: Ein Computer hat diesen Text in Leichte Sprache übertragen.,"Gemeinsame Ziele sind beispielsweise die dauerhafte Bereithaltung sofort verfügbarer städtischer Gewerbe- und Industrieflächen, der Ausbau der Hamburgischen Aktivitäten im Bereich Quantencomputing, eine Machbarkeitsstudie für die Einsatzmöglichkeiten von Technologien zur Kohlendioxid-Nutzung (Carbon Capture and Usage – CCU) in der Hamburger Industrie, Diversität und die Erhöhung des Frauenanteils auf allen Ebenen in der Hamburger Industrie sowie Durchführung von Dialogveranstaltungen im Rahmen der Akzeptanzkampagne für die Industrie. Eine Task Force „Resiliente Industrie“ wird Lösungsansätze für eine resiliente Industrie entwickeln.",1
84,Der Text ist nicht durch Menschen mit Behinderungen geprüft worden.,Die Partner sind über verschiedene Gremien dauerhaft im engen Austausch miteinander.,1
85,Sie können hier dazu mehr lesen.,"Nach fünf Jahren soll der Masterplan Industrie evaluiert werden. Zahlen, Daten, Fakten Vierzig Prozent der Umsätze in der Hamburger Wirtschaft entfallen auf den Industriesektor. Jeder sechste abhängig Beschäftigte in Hamburg ist in der Industrie tätig.",1
92,Im Natur-Schutz-Gebiet Boberger Niederung gibt es Schafe . Die Schafe fressen das Gras. Jedes Jahr im Mai werden die Schafe in das Natur-Schutz-Gebiet gebracht.,"Die tierischen Landschaftspfleger tragen dazu bei, dem Aufwachsen von Gehölzen und einer Vergrasung der Flächen entgegenzuwirken. Zum Einsatz kommen 120 Heidschnucken und 15 Ziegen, die mit den mageren Bedingungen in der Boberger Niederung sehr gut zurechtkommen.",1
93,Die Schafe bleiben bis Oktober im Natur-Schutz-Gebiet.,"Die fressenden Tiere halten nicht nur die Flächen offen, sondern vernetzen auch Lebensräume. In der Wolle verfangen sich Samen und Insekten, die so durch das Gebiet transportiert werden.",1
94,Die Schafe fressen das Gras auf. Und sie fressen junge Bäume und Sträucher.,"Ziegen fressen im Gegensatz zu Schafen nicht nur Raufutter wie Gras, sondern auch junge Gehölze, dornige Sträucher und Rinde.",1
95,Dann wachsen keine Bäume und Sträucher mehr. Das ist gut für die Natur. Es gibt viele Heidschnucken.,"Somit ergänzen sich Schafe und Ziegen in der Landschaftspflege und fördern den Erhalt der wertvollen offenen Lebensräume Heide, Düne und Trockenrasen.",1
96,Das ist eine Schaf-Rasse. Und es gibt einige Ziegen. Eine Schäferin und ein Schäfer kümmern sich um die Schafe.,"Die Schafe und Ziegen ziehen durch das gesamte Naturschutzgebiet und werden von einer Schäferin und einem Schäfer begleitet. Diese bekommen Unterstützung von Hütehunden, die die Schafe und Ziegen zu den Flächen treiben.",1
97,Der Schäfer und die Schäferin haben auch Hunde : Die Hunde bewachen die Schafe. Alle anderen Hunde müssen an der Leine sein. Im Natur-Schutz-Gebiet.,"Um die Hütehunde und Schafe bei ihrer Arbeit nicht zu stören, bittet die Umweltbehörde darum, mitgeführte Hunde entsprechend der Geboten für Naturschutzgebiete unbedingt anzuleinen.",1
98,Das Boberger Dünen-Haus Das Boberger-Dünen-Haus ist ein Museum. Es gibt dort Infos über die Arbeit von der Schäferin und dem Schäfer. Und es wird erklärt: Darum sind die Schafe so wichtig für die Natur.,Weitere Informationen Das Boberger Dünenhaus informiert im Rahmen des „Schafsommers“ über die Arbeit der Schäferin und des Schäfers im Gebiet sowie über die Bedeutung der Tiere für die vorkommenden Lebensräume.,1
100,Am 29. Mai 2023 scheren die Schäferin und der Schäfer die Schafe. Das heißt: Den Schafen wird die Wolle abgeschnitten.,Bei der Schur der Schafe am 29. Mai 2023 von 11:00 bis 13:00 Uhr können die Schäferin und der Schäfer bei ihrer Arbeit beobachtet und das Produkt Wolle erfahren werden.,1
108,Hamburg soll eine inklusive Stadt sein.,"Hierfür wird unter anderem eine Arbeitsgruppe „Inklusive Mobilitätswende“ bei der BVM eingerichtet. Ob beim Thema Fuß- und Radverkehr, ÖPNV, alternative Mobilitätsangebote oder autoarme Quartiere – Menschen mit Behinderungen werden als Expert:innen in eigener Sache in alle Planungsvorhaben mit einbezogen. Anjes Tjarks, Senator für Verkehr und Mobilitätswende: „Die gemeinsame Willenserklärung mit zehn Hamburger Verbänden verdeutlicht: Wir wollen und brauchen die Mobilitätswende für alle Menschen in Hamburg. Der Mobilitätsmix muss für alle Hamburgerinnen und Hamburger attraktive Verkehrsangebote bieten.",1
109,Inklusiv heißt: Alle Menschen sollen in Hamburg gut leben können.,"Wir wollen Hamburg gesamtgesellschaftlich denken und bei unseren vielen Mobilitätsangeboten auf alle Gruppen zugehen – E-Klusion ist das Stichwort der Zukunft! Ein herausragendes Beispiel für die Symbiose von Antriebswende und Barrierefreiheit ist das Projekt Zukunftstaxi.“ Heiko Kunert, Vorstand der Hamburger Landesarbeitsgemeinschaft für behinderte Menschen e. V. (LAG) und Geschäftsführer des Blinden- und Sehbehindertenverein Hamburg e. V.: „Vor zwei Jahren kritisierten wir als „Bündnis barrierefreie Mobilitätswende – nur mit uns!“ die Umsetzung der Umbaumaßnahmen am Jungfernstieg und forderten mehr Dialog bei der Gestaltung des öffentlichen Raums und des ÖPNV. Die heute unterzeichnete gemeinsame Willenserklärung markiert ein wichtiges Ergebnis aus diesem Austausch und kann ein Meilenstein für die Umsetzung einer barrierefreien Verkehrsplanung in Hamburg sein.",1
110,Und Hamburg will eine Verkehrs-Wende.,"Wir freuen uns, im Rahmen des nun geschlossenen Bündnisses einen Beitrag für mehr Teilhabe von Menschen mit Behinderung in Hamburg leisten zu können.“ Axel Graßmann, Geschäftsführer Lebenshilfe Hamburg: „Die gemeinsame Willenserklärung zur inklusiven Mobilitätswende der zehn Hamburger Verbände und der Behörde für Verkehr und Mobilitätswende ist ein Meilenstein der inklusiven Verkehrsplanung. Hieraus ergibt sich die Verpflichtung, die Bedarfe der unterschiedlichsten Menschen wahrzunehmen, mitzudenken und zu beachten. Inklusion bedeutet – Niemand bleibt „Außen vor“.",1
111,Das heißt: Die Menschen sollen mehr mit der Bahn fahren.,"In der inklusiven Mobilitätswende ist dieses eine Aufgabe mit großer Herausforderung, an der wir uns gern beteiligen, um den Teil beizutragen, den wir aus unserer täglichen Arbeit und unseren Erfahrungen für Menschen mit komplexen Beeinträchtigungen, Menschen mit geistiger Behinderung, gut kennen.“",1
113,Und mit dem Fahrrad.,Mobilität muss überall und für alle in Hamburg verfügbar sein.,1
114,Das ist gut für die Umwelt.,"Es darf keine Hürden geben, weder bauliche noch finanzielle. Jeder muss sich Mobilität leisten können, um etwa den Arzt, Seniorentreff, Jugendtreff oder ein Theater zu erreichen. Und sie muss baulich barrierefrei sein, damit z. B. eine Rolli-Fahrerin ins Theater kommt und sie muss sprachlich barrierefrei sein.",1
115,Die Menschen sollen wenig Auto fahren.,"Dabei ist bei der Mobilitätswende zu bedenken: Ältere, behinderte und manch kranke Menschen kaufen in der Regel weder mit dem Lastenrad ein noch überwinden sie per E-Roller die letzte Meile zur Physiotherapie.",1
116,Die Verkehrs-Wende soll inklusiv sein.,"Die gesellschaftliche Funktion des ÖPNV ist nicht nur der Transport von A nach B. Wir müssen bedenken, dass Preissteigerungen für Bahn und Bus gerade in diesen Zeiten – eine zusätzliche Belastung sind. Sie erschweren die Teilhabe in einer Gesellschaft, in der Mobilität nicht alles, aber vieles ist, besonders im beruflichen Leben. Der SoVD Hamburg plädiert schon lange für ein kostenfreies Ticket für alle bedürftigen Menschen, seien es Bürgergeld-Bezieher, Alleinerziehende oder Ältere mit schmaler Rente oder junge Menschen. Alle müssen Teil der sozialökologischen Wende sein.“",1
117,Das heißt: Alle Menschen in Hamburg sollen die Verkehrs-Mittel gut nutzen können.,"Carmen Hagemeister vom Vorstand des FUSS e. V. Hamburg: „Barrierefreie Wege sind für alle Fußgänger:innen günstig.“ Kerrin Stumpf, Geschäftsführerin Leben mit Behinderung Hamburg e. V.: „Wir werden mit darauf achten, dass mit einem Mobilitätsmix wirklich alle Hamburgerinnen und Hamburger Teilhabe erleben können.“ Kristin Alheit, Geschäftsführerin des PARITÄTISCHEN Wohlfahrtsverbands Hamburg: „Wir begrüßen es sehr, dass sich der Hamburger öffentliche Nahverkehr auf den Weg macht, inklusiver und barrierefreier zu werden.",1
118,Auch Menschen mit Behinderungen.,"Denn er sollte für alle Hamburger:innen gut nutzbar sein, auch für Menschen mit Beeinträchtigungen.",1
119,Die Menschen mit Behinderungen sind Experten für Barriere-Freiheit.,"Hier muss Hamburg in der Tat noch besser werden. Die Zusammenarbeit mit dem Bündnis Mobilitätswende hilft, möglichst alle Aspekte von Barrierefreiheit zu berücksichtigen. Die Mobilitätswende darf niemanden zurücklassen.",1
120,10 Verbände haben sich zusammengetan. Zu einem Bündnis.,"Die nun verabredeten Punkte sind gute Meilensteine, um dieses Ziel zu erreichen.“",1
122,Die Verbände haben eine Erklärung unterschrieben. Zusammen mit der Behörde für Verkehr und Mobilitäts-Wende.,"Informationen zu Fahrzielen, Liniennummern und Hinweise auf Betriebsstörungen müssen auch für blinde Menschen und Menschen mit Hörbeeinträchtigung gleichermaßen zugänglich sein. Ich freue mich sehr, dass die BVM und die Interessensvertretungen von Menschen mit Behinderungen mit der gemeinsamen Willenserklärung Hand in Hand gehen, um eine inklusive Mobilitätswende in Hamburg voranzutreiben. Inklusion und Barrierefreiheit stellen neben Klimaneutralität eine wichtige Voraussetzung für eine gemeinsame und zukunftsfähige Gesellschaft dar.“",1
123,Für eine Mobilitäts-Wende für alle Menschen.,Gemeinsame Willenserklärung für eine inklusive Mobilitätswende,1
124,Diese Verbände sind in dem Bündnis:,"Das Bündnis „Mobilitätswende - nur mit uns!“, in dem sich die folgenden Verbände zusammengeschlossen haben:",1
125,Der Blinden- und Sehbehinderten-Verein Hamburg e. V.,Blinden- und Sehbehindertenverein Hamburg e. V. (BSVH),1
126,Der Bund der Schwerhörigen e. V.,Bund der Schwerhörigen e. V. (BdS),1
127,FUSS e. V. Hamburg,FUSS e. V. Hamburg,1
128,Landes-Arbeits-Gemeinschaft für behinderte Menschen,Landesarbeitsgemeinschaft für behinderte Menschen (LAG),1
130,Leben mit Behinderung Hamburg Eltern-Verein e. V.,Leben mit Behinderung Hamburg Elternverein e. V.,1
131,Lebens-Hilfe Landes-Verband Hamburg e. V.,Lebenshilfe Landesverband Hamburg e. V.,1
132,Der PARITÄTISCHE Wohl-Fahrts-Verband Hamburg e. V.,Der PARITÄTISCHE Wohlfahrtsverband Hamburg e. V.,1
133,"Sozial-Verband Deutschland, SoVD Hamburg","Sozialverband Deutschland, SoVD Hamburg",1
134,Sozial-Verband VdK Hamburg,Sozialverband VdK Hamburg,1
135,Das sind die Ziele Alle Menschen sollen gut und sicher mobil sein.,"und die Freie und Hansestadt Hamburg, Behörde für Verkehr und Mobilitätswende, sind sich über eine dauerhafte und zielgerichtete Zusammenarbeit auf folgender Grundlage einig:",1
137,Oder zu Freunden. Oder zu Veranstaltungen.,Das Bündnis „Mobilitätswende – nur mit uns!“ und die Behörde für Verkehr und Mobilitätswende (BVM) unterstützen die Mobilitätswende und die damit verbundenen Ziele zur Verbesserung der Lebensqualität.,1
138,Das ist wichtig für alle Menschen. Wenn sie jung sind.,"Wir wollen, dass mit der Mobilitätswende für alle Menschen eine gute und sichere Mobilität auf nachhaltige Weise gewährleistet wird.",1
139,Oder sie alt sind. Oder wenn sie wenig Geld haben. Oder wenn sie nicht so gut laufen können. Alle Menschen sollen das gleiche Recht haben.,"Die Mobilität ist entscheidend für die Würde und Selbstbestimmung aller Menschen, für soziale und kulturelle Teilhabe, unabhängig von Alter, Einkommen und individuellen Fähigkeiten.",1
140,Deshalb müssen die Verkehrs-Mittel für alle Menschen gut sein. Und die Wege müssen für alle Menschen gut sein. Damit alle Menschen gut zu Fuß gehen können. Zum Beispiel:,Darum müssen Verkehrsmittel und Verkehrswege auch aus der Sicht der Nutzerinnen und Nutzer zugänglich und für jeden Menschen gleichermaßen komfortabel nutzbar sein.,1
141,Menschen mit Behinderung Kinder Ältere Menschen,"Wege, die für mobilitätseingeschränkte Menschen, Kinder, Seniorinnen und Senioren gut nutzbar sind, laden auch alle anderen Menschen ein, autofreie Mobilität auszuprobieren und zu leben.",1
142,Eltern mit Kinder-Wagen Manche Menschen können nicht so schnell laufen. Manche Menschen können nicht so gut sehen.,Bestandteil einer Mobilitätswende für alle ist eine konsequente Fortsetzung der Barrierefreiheit im Sinne des Hamburgischen Behindertengleichstellungsgesetzes und die Beachtung anerkannter Regeln der Technik.,1
143,Daran will Hamburg bei der Planung denken. Und daran will Hamburg bei den Bau-Arbeiten denken. So sollen Bus und Bahn barriere-frei werden,"Auf dem Weg der Mobilitätswende wollen wir den Menschen in Hamburg in respektvoller und an ihre jeweiligen Bedürfnisse angepasster Weise begegnen, sie in Planungsprozessen ernst nehmen und auch den „schwächeren"" Verkehrsteilnehmenden gute und sichere Wege bereitstellen. Die barrierefreie Benutzbarkeit von ÖPNV-Angeboten und Straßenverkehrsanlagen wird weiterhin in der Planung, in der Realisierung sowie im laufenden Betrieb zu berücksichtigt.",1
144,Alle Menschen sollen Bus und Bahn nutzen können.,Was wir gemeinsam erreichen wollen Der Ausbau des Fuß- und Radverkehrs sowie des ÖPNV ist die Voraussetzung für das erfolgreiche Gelingen der Mobilitätswende in Hamburg.,1
145,Dafür müssen die Infos gut sein.,"Autoarme Quartiere, eine größere Vielfalt an Verkehrsträgern so-wie ausreichend breite, sichere und komfortable Gehwege und Radverkehrsanlagen sind wichtige Ziele der Mobilitätswende.",1
146,An den Bus-Halte-Stellen. Und den Bahn-Höfen.,Gleichzeitig dürfen keine neuen Barrieren entstehen und vorhandene Barrieren müssen konsequent abgebaut werden. Der ÖPNV ist das Rückgrat einer inklusiven Stadtgesellschaft.,1
147,Die Infos müssen: gut zu sehen sein. gut zu hören sein. gut zu lesen sein.,"Damit er von allen Fahrgästen ohne besondere Erschwernis und möglichst ohne Assistenz genutzt werden kann, wollen wir Fahrgastinformationen, gut auffindbar, seh- und hörbar, leserlich und verständlich für jeden Fahrgast zugänglich machen.",1
148,Die Bahn-Höfe müssen barriere-frei gebaut sein. Die Bus-Halte-Stellen müssen barriere-frei gebaut sein.,"Neben den nahezu vollständig umgerüsteten Schnellbahnhaltestellen sollen perspektivisch auch alle Bushaltestellen und das Umfeld der Haltestellen barrierefrei ausgebaut werden. Dazu ist eine Steigerung der bisherigen Anstrengungen beim barrierefreien Ausbau der Bushaltestellen erforderlich. ÖPNV-Angebote, Taxis und Linienbedarfsverkehre müssen ohne technische und ökonomische Schranken, erschwinglich und barrierefrei sein.",1
150,So sollen Fuß-Wege barriere-frei werden Die Wege sollen gut sein für Menschen mit Roll-Stuhl. Oder mit Kinder-Wagen .,"Gut ausgebaute und sichere Gehwege sind für alle Menschen eine wichtige Mobilitätsvoraussetzung. Wir wollen, dass Gehwege für Menschen mit Rollstuhl, Kinderwagen und Rollatoren ausreichend dimensioniert und barrierefrei ausgebaut werden.",1
151,​​​​​​​Die Wege sollen auch für Geh-Hilfen gut sein.,"Wir wollen dafür sorgen, dass durch Pflege und Instandsetzung Wege, Treppen, Bodenindikatoren, Schilder und technische Einrichtungen auf Dauer barrierefrei bleiben und Veraltetes zeitnah auf den neuesten Stand der Technik gebracht wird.",1
152,Die Wege sollen breit genug sein. Die Wege sollen barriere-frei sein.,"Bei der Aufteilung von Ver-kehrsflächen sollen Gehwege nicht eingeschränkt, sondern barrierefrei ausgebaut werden. Radverkehrsanlagen, vor allem Velorouten, sollen so gebaut werden, dass sie auch von Personen auf Dreirädern oder Tandems problemlos genutzt werden können.",1
153,Die Wege müssen immer barriere-frei bleiben. Die Wege müssen immer in Ordnung sein.,Bei größeren Fahrradabstellanlagen (z. B. an U- und S-Bahn-Haltestellen) werden die Bedürfnisse von Dreirad- und Tandemfahrenden ausdrücklich berücksichtigt.,1
154,Die Polizei soll kontrollieren: Dass Fuß-Wege frei sind.,"Plätze zur zentralen urbanen Begegnung wollen wir so gestalten, dass sie uneingeschränkt und gemeinsam genutzt werden können.",1
155,Es dürfen keine E-Roller im Weg stehen. Oder Fahrräder. Oder Autos.,"Um Gefährdungen zu vermeiden, wollen wir die Verkehrsflächen für zu Fuß gehende besonders sorgfältig planen und gestalten, weil unter Umständen Fahrzeugverkehr auf Gehwegen und Plätzen störend und gefährlich sein kann.",1
